Activity,Id_Leg,Checkin,Start,Dep,Arr,End,Checkout,Repouso Extra,Tempo Repouso Extra Diurno,Tempo Repouso Extra Noturno,Tempo Repouso Extra Especial Diurno,Tempo Repouso Extra Especial Noturno
SNA,-IF,08/02/2018 12:00,08/02/2018 12:00,VCP,VCP,08/02/2018 17:00,08/02/2018 17:30,0 days 03:45:00,0 days 03:15:00,0 days 00:30:00,0 days 00:00:00,0 days 00:00:00
AD4021,-F,NaT,NaT,SDU,VCP,NaT,NaT,0 days 01:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,NaT,NaT,VCP,VCP,NaT,NaT,0 days 00:15:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4474,-F,NaT,NaT,VCP,PFB,NaT,NaT,0 days 19:46:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4252,-IF,NaT,NaT,PFB,VCP,NaT,NaT,0 days 22:07:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4288,-IF,NaT,NaT,VCP,GYN,NaT,NaT,0 days 01:29:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
SE,-IF,01/03/2018 07:00,01/03/2018 07:00,VCP,VCP,01/03/2018 19:00,01/03/2018 19:30,0 days 04:30:00,0 days 04:30:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,02/03/2018 12:00,02/03/2018 12:00,VCP,VCP,02/03/2018 19:00,02/03/2018 19:30,0 days 13:10:00,0 days 10:30:00,0 days 02:40:00,0 days 10:30:00,0 days 02:40:00
AD2499,-F,05/03/2018 00:50,05/03/2018 05:30,JDO,VCP,05/03/2018 08:25,05/03/2018 08:55,0 days 01:10:00,0 days 00:00:00,0 days 01:10:00,0 days 00:00:00,0 days 00:00:00
R21,-IF,07/03/2018 23:50,07/03/2018 23:50,VCP,VCP,08/03/2018 02:50,08/03/2018 03:20,0 days 20:40:00,0 days 08:40:00,0 days 12:00:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,NaT,NaT,VCP,VCP,NaT,NaT,0 days 11:20:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4496,-F,NaT,NaT,VCP,POA,NaT,NaT,0 days 02:14:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2741,-IF,NaT,NaT,POA,VCP,NaT,NaT,0 days 04:32:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,NaT,NaT,VCP,VCP,NaT,NaT,0 days 04:30:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,NaT,NaT,VCP,VCP,NaT,NaT,1 days 18:20:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4289,-F,NaT,NaT,GYN,VCP,NaT,NaT,0 days 01:07:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2468,-F,04/04/2018 09:00,04/04/2018 16:44,CNF,VCP,04/04/2018 18:02,04/04/2018 18:32,0 days 01:58:00,0 days 01:58:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2891,-F,12/04/2018 01:00,12/04/2018 05:33,REC,VCP,12/04/2018 08:33,12/04/2018 09:03,0 days 05:58:00,0 days 00:00:00,0 days 05:58:00,0 days 00:00:00,0 days 00:00:00
S10,-IF,NaT,NaT,VCP,VCP,NaT,NaT,0 days 06:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
S10,-IF,NaT,NaT,VCP,VCP,NaT,NaT,0 days 06:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4233,-F,NaT,NaT,VCP,SDU,NaT,NaT,0 days 00:15:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD6962,-IF,NaT,NaT,GIG,VCP,NaT,NaT,0 days 02:19:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4092,-F,NaT,NaT,VCP,FLN,NaT,NaT,0 days 00:09:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4408,-IF,NaT,NaT,VCP,JOI,NaT,NaT,0 days 18:30:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4055,-F,NaT,NaT,CGR,VCP,NaT,NaT,0 days 06:53:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4059,-F,NaT,NaT,POA,VCP,NaT,NaT,0 days 00:23:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2934,-F,01/05/2018 23:55,02/05/2018 07:21,CGB,CGR,02/05/2018 08:29,02/05/2018 08:59,0 days 09:21:00,0 days 00:20:00,0 days 09:01:00,0 days 00:00:00,0 days 00:00:00
AD4403,-F,03/05/2018 06:20,03/05/2018 11:43,POA,VCP,03/05/2018 13:26,03/05/2018 13:56,0 days 01:04:00,0 days 00:00:00,0 days 01:04:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,08/05/2018 03:00,08/05/2018 03:00,VCP,VCP,09/05/2018 02:59,09/05/2018 03:29,0 days 09:36:00,0 days 02:31:00,0 days 07:05:00,0 days 00:00:00,0 days 00:00:00
AD2499,-F,10/05/2018 01:05,10/05/2018 05:35,JDO,VCP,10/05/2018 08:53,10/05/2018 09:23,0 days 04:27:00,0 days 00:00:00,0 days 04:27:00,0 days 00:00:00,0 days 00:00:00
AD2503,-F,11/05/2018 01:50,11/05/2018 05:47,PNZ,VCP,11/05/2018 08:33,11/05/2018 09:03,0 days 05:57:00,0 days 00:00:00,0 days 05:57:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,NaT,NaT,VCP,VCP,NaT,NaT,0 days 11:31:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,NaT,NaT,VCP,VCP,NaT,NaT,0 days 01:26:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4092,-F,NaT,NaT,VCP,CWB,NaT,NaT,0 days 04:53:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2709,-F,NaT,NaT,VCP,FLN,NaT,NaT,0 days 03:28:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5364,-F,NaT,NaT,GRU,FLN,NaT,NaT,0 days 04:01:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4964,-F,NaT,NaT,GRU,GYN,NaT,NaT,0 days 04:41:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4149,-F,NaT,NaT,GYN,VCP,NaT,NaT,0 days 04:02:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4195,-F,01/06/2018 01:25,01/06/2018 09:25,VCP,GIG,01/06/2018 10:21,01/06/2018 10:51,0 days 09:29:00,0 days 02:20:00,0 days 07:09:00,0 days 02:20:00,0 days 07:09:00
