Activity,Id_Leg,Checkin,Dep,Arr,Start,End,Checkout,Tempo Solo Diurno,Tempo Solo Noturno,Tempo Solo Especial Diurno,Tempo Solo Especial Noturno
AD4840,-I,21/12/2021 12:15,BEL,MCP,21/12/2021 13:01,21/12/2021 13:53,21/12/2021 21:25,0 days 00:57:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2705,-M,21/12/2021 12:15,MCP,BEL,21/12/2021 14:50,21/12/2021 15:41,21/12/2021 21:25,0 days 01:44:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2705,-F,21/12/2021 12:15,BEL,VCP,21/12/2021 17:25,21/12/2021 20:55,21/12/2021 21:25,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2991,-I,05/01/2022 13:20,VCP,SSA,05/01/2022 14:09,05/01/2022 16:21,06/01/2022 00:55,0 days 01:39:00,0 days 00:04:00,0 days 00:00:00,0 days 00:00:00
AD4914,-M,05/01/2022 13:20,SSA,CGH,05/01/2022 18:04,05/01/2022 21:20,06/01/2022 00:55,0 days 00:00:00,0 days 00:48:00,0 days 00:00:00,0 days 00:00:00
AD4915,-F,05/01/2022 13:20,CGH,SSA,05/01/2022 22:08,06/01/2022 00:25,06/01/2022 00:55,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2917,-I,06/01/2022 14:05,SSA,REC,06/01/2022 15:01,06/01/2022 16:18,07/01/2022 00:53,0 days 01:15:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4503,-M,06/01/2022 14:05,REC,CNF,06/01/2022 17:33,06/01/2022 20:13,07/01/2022 00:53,0 days 00:00:00,0 days 01:51:00,0 days 00:00:00,0 days 00:00:00
AD9118,-F,06/01/2022 14:05,CNF,MCZ,06/01/2022 22:04,07/01/2022 00:23,07/01/2022 00:53,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2701,-I,08/01/2022 07:40,REC,CNF,08/01/2022 08:35,08/01/2022 11:07,08/01/2022 17:40,0 days 03:19:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2578,-F,08/01/2022 07:40,CNF,NAT,08/01/2022 14:26,08/01/2022 17:10,08/01/2022 17:40,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4079,-I,19/01/2022 07:32,VCP,REC,19/01/2022 08:12,19/01/2022 11:23,19/01/2022 16:35,0 days 00:54:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2723,-M,19/01/2022 07:32,REC,SLZ,19/01/2022 12:17,19/01/2022 14:08,19/01/2022 16:35,0 days 00:48:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2619,-F,19/01/2022 07:32,SLZ,BEL,19/01/2022 14:56,19/01/2022 16:05,19/01/2022 16:35,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2619,-I,20/01/2022 16:05,BEL,GRU,20/01/2022 17:15,20/01/2022 20:43,20/01/2022 22:51,0 days 00:00:00,0 days 01:26:00,0 days 00:00:00,0 days 00:00:00
AD2624,-F,20/01/2022 16:05,GRU,GRU,20/01/2022 22:09,20/01/2022 22:21,20/01/2022 22:51,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4840,-I,22/01/2022 07:15,VCP,BEL,22/01/2022 08:14,22/01/2022 11:31,22/01/2022 19:17,0 days 03:26:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4432,-M,22/01/2022 07:15,BEL,STM,22/01/2022 14:57,22/01/2022 16:22,22/01/2022 19:17,0 days 01:11:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4433,-F,22/01/2022 07:15,STM,BEL,22/01/2022 17:33,22/01/2022 18:47,22/01/2022 19:17,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4340,-I,26/01/2022 22:45,VCP,CGB,26/01/2022 23:44,27/01/2022 00:48,27/01/2022 05:28,0 days 00:00:00,0 days 01:01:00,0 days 00:00:00,0 days 00:00:00
AD4341,-F,26/01/2022 22:45,CGB,VCP,27/01/2022 01:49,27/01/2022 04:58,27/01/2022 05:28,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4338,-I,04/02/2022 13:30,VCP,CGB,04/02/2022 14:22,04/02/2022 15:22,05/02/2022 00:31,0 days 01:35:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4512,-M,04/02/2022 13:30,CGB,SDU,04/02/2022 16:57,04/02/2022 20:26,05/02/2022 00:31,0 days 00:00:00,0 days 01:36:00,0 days 00:00:00,0 days 00:00:00
AD9103,-F,04/02/2022 13:30,SDU,POA,04/02/2022 22:02,05/02/2022 00:01,05/02/2022 00:31,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4216,-I,05/02/2022 18:50,POA,SDU,05/02/2022 19:23,05/02/2022 21:14,06/02/2022 01:21,0 days 00:00:00,0 days 00:56:00,0 days 00:00:00,0 days 00:56:00
AD4823,-F,05/02/2022 18:50,SDU,REC,05/02/2022 22:10,06/02/2022 00:51,06/02/2022 01:21,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4631,-I,06/02/2022 16:40,REC,SDU,06/02/2022 17:41,06/02/2022 20:54,06/02/2022 23:33,0 days 00:00:00,0 days 00:47:00,0 days 00:00:00,0 days 00:47:00
AD4208,-F,06/02/2022 16:40,SDU,CWB,06/02/2022 21:41,06/02/2022 23:03,06/02/2022 23:33,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4155,-I,07/02/2022 18:45,CWB,SDU,07/02/2022 19:22,07/02/2022 20:44,08/02/2022 00:42,0 days 00:00:00,0 days 01:24:00,0 days 00:00:00,0 days 00:00:00
AD4248,-F,07/02/2022 18:45,SDU,POA,07/02/2022 22:08,08/02/2022 00:12,08/02/2022 00:42,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2785,-I,19/02/2022 05:30,POA,SDU,19/02/2022 06:00,19/02/2022 07:49,19/02/2022 12:13,0 days 00:58:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2926,-F,19/02/2022 05:30,SDU,REC,19/02/2022 08:47,19/02/2022 11:43,19/02/2022 12:13,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4824,-I,20/02/2022 04:05,REC,SDU,20/02/2022 04:54,20/02/2022 07:48,20/02/2022 11:57,0 days 00:51:00,0 days 00:00:00,0 days 00:51:00,0 days 00:00:00
AD2926,-F,20/02/2022 04:05,SDU,REC,20/02/2022 08:39,20/02/2022 11:27,20/02/2022 11:57,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2990,-I,21/02/2022 12:10,REC,SDU,21/02/2022 13:09,21/02/2022 15:57,21/02/2022 18:25,0 days 00:58:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4087,-F,21/02/2022 12:10,SDU,VCP,21/02/2022 16:55,21/02/2022 17:55,21/02/2022 18:25,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4347,-I,26/02/2022 07:10,VCP,POA,26/02/2022 08:22,26/02/2022 10:02,26/02/2022 18:08,0 days 02:08:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4216,-M,26/02/2022 07:10,POA,SDU,26/02/2022 12:10,26/02/2022 13:55,26/02/2022 18:08,0 days 00:57:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4823,-F,26/02/2022 07:10,SDU,REC,26/02/2022 14:52,26/02/2022 17:38,26/02/2022 18:08,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5024,-I,27/02/2022 07:55,REC,SDU,27/02/2022 08:49,27/02/2022 11:48,27/02/2022 16:12,0 days 01:14:00,0 days 00:00:00,0 days 01:14:00,0 days 00:00:00
AD2641,-F,27/02/2022 07:55,SDU,REC,27/02/2022 13:02,27/02/2022 15:42,27/02/2022 16:12,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5024,-I,28/02/2022 07:55,REC,SDU,28/02/2022 08:50,28/02/2022 11:35,28/02/2022 16:05,0 days 01:20:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2641,-F,28/02/2022 07:55,SDU,REC,28/02/2022 12:55,28/02/2022 15:35,28/02/2022 16:05,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5024,-I,01/03/2022 07:45,REC,REC,01/03/2022 09:09,01/03/2022 09:45,01/03/2022 19:05,0 days 02:40:00,0 days 00:00:00,0 days 02:40:00,0 days 00:00:00
AD5024,-M,01/03/2022 07:45,REC,SDU,01/03/2022 12:25,01/03/2022 15:14,01/03/2022 19:05,0 days 00:37:00,0 days 00:00:00,0 days 00:37:00,0 days 00:00:00
AD2641,-F,01/03/2022 07:45,SDU,REC,01/03/2022 15:51,01/03/2022 18:35,01/03/2022 19:05,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5024,-I,02/03/2022 07:45,REC,SDU,02/03/2022 08:40,02/03/2022 11:30,02/03/2022 16:13,0 days 03:03:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2656,-F,02/03/2022 07:45,SDU,VCP,02/03/2022 14:33,02/03/2022 15:43,02/03/2022 16:13,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2960,-M,05/03/2022 12:00,VCP,GYN,05/03/2022 13:09,05/03/2022 14:37,05/03/2022 20:25,0 days 00:56:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2416,-M,05/03/2022 12:00,GYN,BPS,05/03/2022 15:33,05/03/2022 17:17,05/03/2022 20:25,0 days 00:43:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2409,-F,05/03/2022 12:00,BPS,VCP,05/03/2022 18:00,05/03/2022 19:55,05/03/2022 20:25,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2643,-I,11/03/2022 19:35,VCP,CNF,11/03/2022 20:33,11/03/2022 21:51,12/03/2022 04:10,0 days 00:00:00,0 days 00:57:00,0 days 00:00:00,0 days 00:00:00
AD4604,-M,11/03/2022 19:35,CNF,REC,11/03/2022 22:48,12/03/2022 01:07,12/03/2022 04:10,0 days 00:00:00,0 days 01:31:00,0 days 00:00:00,0 days 00:00:00
AD2652,-F,11/03/2022 19:35,REC,NAT,12/03/2022 02:38,12/03/2022 03:40,12/03/2022 04:10,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4864,-I,13/03/2022 16:05,VCP,IGU,13/03/2022 17:47,13/03/2022 19:25,13/03/2022 22:06,0 days 00:00:00,0 days 00:41:00,0 days 00:00:00,0 days 00:41:00
AD4865,-F,13/03/2022 16:05,IGU,VCP,13/03/2022 20:06,13/03/2022 21:36,13/03/2022 22:06,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5086,-I,14/03/2022 15:00,VCP,SDU,14/03/2022 16:02,14/03/2022 17:20,14/03/2022 21:28,0 days 00:40:00,0 days 00:16:00,0 days 00:00:00,0 days 00:00:00
AD2684,-F,14/03/2022 15:00,SDU,REC,14/03/2022 18:16,14/03/2022 20:58,14/03/2022 21:28,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2990,-I,15/03/2022 11:50,REC,SDU,15/03/2022 12:47,15/03/2022 15:39,15/03/2022 18:44,0 days 01:21:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4087,-F,15/03/2022 11:50,SDU,VCP,15/03/2022 17:00,15/03/2022 18:14,15/03/2022 18:44,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2920,-I,21/03/2022 17:24,VCP,CNF,21/03/2022 18:24,21/03/2022 19:34,22/03/2022 02:42,0 days 00:00:00,0 days 00:40:00,0 days 00:00:00,0 days 00:00:00
AD4213,-M,21/03/2022 17:24,CNF,VCP,21/03/2022 20:14,21/03/2022 21:34,22/03/2022 02:42,0 days 00:00:00,0 days 01:44:00,0 days 00:00:00,0 days 00:00:00
AD2697,-F,21/03/2022 17:24,VCP,THE,21/03/2022 23:18,22/03/2022 02:12,22/03/2022 02:42,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4379,-I,23/03/2022 16:25,THE,VCP,23/03/2022 16:51,23/03/2022 19:47,24/03/2022 02:17,0 days 00:00:00,0 days 03:51:00,0 days 00:00:00,0 days 00:00:00
AD4372,-F,23/03/2022 16:25,VCP,SSA,23/03/2022 23:38,24/03/2022 01:47,24/03/2022 02:17,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4914,-I,24/03/2022 17:20,SSA,CGH,24/03/2022 17:53,24/03/2022 20:21,25/03/2022 00:21,0 days 00:00:00,0 days 01:10:00,0 days 00:00:00,0 days 00:00:00
