Activity,Id_Leg,Checkin,Start,Dep,Arr,End,Checkout,Repouso Extra,Tempo Repouso Extra Diurno,Tempo Repouso Extra Noturno,Tempo Repouso Extra Especial Diurno,Tempo Repouso Extra Especial Noturno
AD2621,-F,16/11/2018 19:25,17/11/2018 00:26,VCP,XAP,17/11/2018 01:58,17/11/2018 02:28,0 days 17:37:00,0 days 05:37:00,0 days 12:00:00,0 days 02:05:00,0 days 09:00:00
AD4446,-F,18/11/2018 08:05,18/11/2018 15:25,GRU,BSB,18/11/2018 17:18,18/11/2018 17:48,0 days 01:32:00,0 days 01:20:00,0 days 00:12:00,0 days 00:00:00,0 days 00:00:00
AD4987,-F,19/11/2018 07:20,19/11/2018 10:12,CNF,VCP,19/11/2018 11:26,19/11/2018 11:56,0 days 09:04:00,0 days 03:00:00,0 days 06:04:00,0 days 00:00:00,0 days 00:00:00
AD4083,-F,30/11/2018 09:35,30/11/2018 17:16,CGB,VCP,30/11/2018 19:22,30/11/2018 19:52,0 days 01:03:00,0 days 01:03:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,06/12/2018 02:01,06/12/2018 02:01,VCP,VCP,07/12/2018 01:59,07/12/2018 02:29,0 days 00:11:00,0 days 00:11:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4103,-F,07/12/2018 14:40,07/12/2018 19:27,CWB,VCP,07/12/2018 20:24,07/12/2018 20:54,0 days 17:06:00,0 days 09:06:00,0 days 08:00:00,0 days 00:00:00,0 days 05:00:00
CMA,-IF,13/12/2018 02:00,13/12/2018 02:00,VCP,VCP,14/12/2018 02:00,14/12/2018 02:30,0 days 09:25:00,0 days 03:30:00,0 days 05:55:00,0 days 00:00:00,0 days 00:00:00
AD2499,-F,14/12/2018 23:55,15/12/2018 04:30,JDO,VCP,15/12/2018 07:18,15/12/2018 07:48,0 days 06:12:00,0 days 00:00:00,0 days 06:12:00,0 days 00:00:00,0 days 05:00:00
AD9129,-F,23/12/2018 00:10,23/12/2018 04:34,IMP,VCP,23/12/2018 07:35,23/12/2018 08:05,0 days 01:20:00,0 days 00:00:00,0 days 01:20:00,0 days 00:00:00,0 days 00:55:00
AD4446,-F,28/12/2018 10:00,28/12/2018 15:29,GRU,BSB,28/12/2018 17:30,28/12/2018 18:00,0 days 05:23:00,0 days 05:23:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD9643,-IF,29/12/2018 11:23,29/12/2018 12:03,BSB,VCP,29/12/2018 13:56,29/12/2018 14:26,0 days 03:34:00,0 days 00:00:00,0 days 03:34:00,0 days 00:00:00,0 days 03:34:00
AD4044,-IF,02/01/2019 14:30,02/01/2019 15:23,VCP,CNF,02/01/2019 16:44,02/01/2019 17:14,0 days 13:01:00,0 days 12:00:00,0 days 01:01:00,0 days 00:00:00,0 days 00:00:00
AD2898,-F,03/01/2019 18:15,04/01/2019 01:23,CGB,SMT,04/01/2019 02:17,04/01/2019 02:47,0 days 11:38:00,0 days 03:13:00,0 days 08:25:00,0 days 00:00:00,0 days 00:00:00
LFA,-IF,05/01/2019 08:10,05/01/2019 08:10,VCP,VCP,05/01/2019 10:40,05/01/2019 11:10,0 days 01:45:00,0 days 00:00:00,0 days 01:45:00,0 days 00:00:00,0 days 01:45:00
AD6991,-F,09/01/2019 07:30,09/01/2019 15:06,SDU,CNF,09/01/2019 16:14,09/01/2019 16:44,0 days 04:56:00,0 days 03:40:00,0 days 01:16:00,0 days 00:00:00,0 days 00:00:00
AD4446,-F,10/01/2019 09:40,10/01/2019 15:33,GRU,BSB,10/01/2019 17:19,10/01/2019 17:49,0 days 01:31:00,0 days 01:20:00,0 days 00:11:00,0 days 00:00:00,0 days 00:00:00
AD9068,-F,11/01/2019 07:20,11/01/2019 14:34,GRU,BPS,11/01/2019 16:39,11/01/2019 17:09,0 days 00:51:00,0 days 00:00:00,0 days 00:51:00,0 days 00:00:00,0 days 00:00:00
AD4011,-F,12/01/2019 06:00,12/01/2019 08:59,SDU,VCP,12/01/2019 10:14,12/01/2019 10:44,0 days 01:31:00,0 days 00:00:00,0 days 01:31:00,0 days 00:00:00,0 days 01:31:00
SNA,-IF,16/01/2019 02:01,16/01/2019 02:01,VCP,VCP,17/01/2019 01:59,17/01/2019 02:29,0 days 03:11:00,0 days 03:11:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2898,-F,17/01/2019 21:35,18/01/2019 01:24,CGB,SMT,18/01/2019 02:16,18/01/2019 02:46,0 days 11:39:00,0 days 03:14:00,0 days 08:25:00,0 days 00:00:00,0 days 00:00:00
LFA,-IF,19/01/2019 08:20,19/01/2019 08:20,VCP,VCP,19/01/2019 11:40,19/01/2019 12:10,0 days 01:25:00,0 days 00:00:00,0 days 01:25:00,0 days 00:00:00,0 days 01:25:00
AD9105,-F,02/02/2019 00:35,02/02/2019 05:59,SLZ,VCP,02/02/2019 09:15,02/02/2019 09:45,0 days 03:10:00,0 days 00:00:00,0 days 03:10:00,0 days 00:00:00,0 days 03:10:00
SNA,-IF,06/02/2019 02:00,06/02/2019 02:00,VCP,VCP,07/02/2019 02:00,07/02/2019 02:30,0 days 05:25:00,0 days 03:30:00,0 days 01:55:00,0 days 00:00:00,0 days 00:00:00
AD5188,-F,07/02/2019 19:55,08/02/2019 01:25,VCP,JJG,08/02/2019 02:50,08/02/2019 03:20,0 days 16:00:00,0 days 04:00:00,0 days 12:00:00,0 days 00:00:00,0 days 00:00:00
AD4295,-F,09/02/2019 07:20,09/02/2019 14:32,CNF,VCP,09/02/2019 15:39,09/02/2019 16:09,0 days 01:36:00,0 days 00:00:00,0 days 01:36:00,0 days 00:00:00,0 days 01:36:00
SNA,-IF,13/02/2019 02:00,13/02/2019 02:00,VCP,VCP,14/02/2019 02:00,14/02/2019 02:30,0 days 05:05:00,0 days 03:30:00,0 days 01:35:00,0 days 00:00:00,0 days 00:00:00
AD4090,-F,14/02/2019 19:35,14/02/2019 22:14,CWB,VCP,14/02/2019 23:18,14/02/2019 23:48,0 days 09:22:00,0 days 06:12:00,0 days 03:10:00,0 days 00:00:00,0 days 00:00:00
AD2632,-F,28/02/2019 15:30,28/02/2019 22:02,VCP,CNF,28/02/2019 23:16,28/02/2019 23:46,0 days 00:19:00,0 days 00:19:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5450,-F,01/03/2019 12:05,01/03/2019 19:27,BYO,VCP,01/03/2019 21:08,01/03/2019 21:38,0 days 01:47:00,0 days 01:47:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5801,-F,02/03/2019 11:25,02/03/2019 20:23,CFB,CNF,02/03/2019 21:26,02/03/2019 21:56,0 days 00:34:00,0 days 00:34:00,0 days 00:00:00,0 days 00:34:00,0 days 00:00:00
AD2487,-F,03/03/2019 10:30,03/03/2019 19:04,FLN,VCP,03/03/2019 20:22,03/03/2019 20:52,0 days 01:28:00,0 days 01:28:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,13/03/2019 03:00,13/03/2019 03:00,VCP,VCP,14/03/2019 03:00,14/03/2019 03:30,0 days 08:00:00,0 days 02:30:00,0 days 05:30:00,0 days 00:00:00,0 days 00:00:00
S22,-IF,14/03/2019 23:30,15/03/2019 01:00,VCP,VCP,15/03/2019 05:00,15/03/2019 05:30,0 days 02:00:00,0 days 00:30:00,0 days 01:30:00,0 days 00:00:00,0 days 00:00:00
S18,-IF,15/03/2019 19:30,15/03/2019 21:00,VCP,VCP,16/03/2019 01:00,16/03/2019 01:30,0 days 06:00:00,0 days 04:30:00,0 days 01:30:00,0 days 00:00:00,0 days 00:00:00
S18,-IF,16/03/2019 19:30,16/03/2019 21:00,VCP,VCP,17/03/2019 01:00,17/03/2019 01:30,0 days 12:00:00,0 days 04:30:00,0 days 07:30:00,0 days 04:30:00,0 days 03:00:00
AD2768,-F,27/03/2019 09:45,27/03/2019 17:36,CGH,POA,27/03/2019 19:19,27/03/2019 19:49,0 days 02:01:00,0 days 02:01:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4477,-F,28/03/2019 09:50,28/03/2019 18:15,PFB,VCP,28/03/2019 19:37,28/03/2019 20:07,0 days 08:23:00,0 days 08:23:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2409,-F,04/04/2019 09:40,04/04/2019 15:29,SDU,VIX,04/04/2019 16:30,04/04/2019 17:00,0 days 02:50:00,0 days 01:50:00,0 days 01:00:00,0 days 00:00:00,0 days 00:00:00
AD4011,-F,05/04/2019 07:50,05/04/2019 10:10,SDU,VCP,05/04/2019 11:18,05/04/2019 11:48,0 days 03:12:00,0 days 00:00:00,0 days 03:12:00,0 days 00:00:00,0 days 00:00:00
AD4148,-F,11/04/2019 09:14,11/04/2019 16:50,VCP,GYN,11/04/2019 18:23,11/04/2019 18:53,0 days 01:27:00,0 days 01:27:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD9646,-F,12/04/2019 08:20,12/04/2019 17:07,CNF,VCP,12/04/2019 18:30,12/04/2019 19:00,0 days 00:10:00,0 days 00:10:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2690,-F,13/04/2019 07:10,13/04/2019 10:25,XAP,VCP,13/04/2019 11:59,13/04/2019 12:29,0 days 00:36:00,0 days 00:00:00,0 days 00:36:00,0 days 00:00:00,0 days 00:36:00
SNA,-IF,23/04/2019 03:00,23/04/2019 03:00,VCP,VCP,24/04/2019 03:00,24/04/2019 03:30,0 days 10:15:00,0 days 02:30:00,0 days 07:45:00,0 days 00:00:00,0 days 00:00:00
LFA,-IF,26/04/2019 02:15,26/04/2019 02:15,VCP,VCP,26/04/2019 08:15,26/04/2019 08:45,0 days 06:15:00,0 days 00:00:00,0 days 06:15:00,0 days 00:00:00,0 days 00:00:00
AD9641,-F,01/05/2019 07:40,01/05/2019 12:03,POA,VCP,01/05/2019 13:41,01/05/2019 14:11,0 days 05:29:00,0 days 01:40:00,0 days 03:49:00,0 days 00:00:00,0 days 00:00:00
AD5280,-IF,02/05/2019 07:40,02/05/2019 08:29,VCP,CNF,02/05/2019 09:46,02/05/2019 10:10,0 days 00:45:00,0 days 00:00:00,0 days 00:45:00,0 days 00:00:00,0 days 00:00:00
AD5703,-F,02/05/2019 22:55,03/05/2019 02:18,CGR,VCP,03/05/2019 04:41,03/05/2019 05:30,0 days 06:30:00,0 days 00:30:00,0 days 06:00:00,0 days 00:00:00,0 days 00:00:00
AD6422,-F,08/05/2019 07:40,08/05/2019 12:47,VCP,NVT,08/05/2019 13:54,08/05/2019 14:35,0 days 03:00:00,0 days 00:00:00,0 days 03:00:00,0 days 00:00:00,0 days 00:00:00
AD5280,-F,09/05/2019 05:35,09/05/2019 08:30,VCP,CNF,09/05/2019 09:34,09/05/2019 10:10,0 days 00:40:00,0 days 00:00:00,0 days 00:40:00,0 days 00:00:00,0 days 00:00:00
AD5703,-F,09/05/2019 22:50,10/05/2019 02:18,CGR,VCP,10/05/2019 04:49,10/05/2019 05:30,0 days 06:30:00,0 days 00:30:00,0 days 06:00:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,15/05/2019 00:00,15/05/2019 00:00,VCP,VCP,16/05/2019 00:00,16/05/2019 00:00,0 days 05:55:00,0 days 05:55:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5137,-F,16/05/2019 17:55,16/05/2019 23:39,VCP,GIG,17/05/2019 00:38,17/05/2019 01:08,0 days 01:02:00,0 days 01:02:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
LFA,-IF,17/05/2019 23:30,17/05/2019 23:30,VCP,VCP,18/05/2019 04:00,18/05/2019 04:00,0 days 08:00:00,0 days 02:00:00,0 days 06:00:00,0 days 00:00:00,0 days 03:00:00
AD5137,-IF,25/05/2019 22:05,25/05/2019 23:13,VCP,GIG,26/05/2019 00:26,26/05/2019 00:56,0 days 07:49:00,0 days 05:04:00,0 days 02:45:00,0 days 05:04:00,0 days 02:45:00
LFA,-IF,26/05/2019 23:30,26/05/2019 23:30,VCP,VCP,26/05/2019 23:59,26/05/2019 23:59,0 days 12:01:00,0 days 06:01:00,0 days 06:00:00,0 days 00:00:00,0 days 00:00:00
RES,-IF,02/06/2019 03:01,02/06/2019 03:01,VCP,VCP,02/06/2019 06:01,02/06/2019 06:01,0 days 06:00:00,0 days 00:00:00,0 days 06:00:00,0 days 00:00:00,0 days 02:59:00
SFX,-IF,06/06/2019 06:00,06/06/2019 06:00,VCP,VCP,06/06/2019 10:00,06/06/2019 10:00,0 days 08:00:00,0 days 00:00:00,0 days 08:00:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,07/06/2019 06:00,07/06/2019 06:00,VCP,VCP,07/06/2019 23:59,07/06/2019 23:59,0 days 02:01:00,0 days 02:01:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
S14,-IF,08/06/2019 14:00,08/06/2019 14:00,VCP,VCP,08/06/2019 18:00,08/06/2019 18:00,0 days 00:30:00,0 days 00:30:00,0 days 00:00:00,0 days 00:30:00,0 days 00:00:00
AD9646,-F,13/06/2019 07:30,13/06/2019 14:35,MCZ,VCP,13/06/2019 17:37,13/06/2019 18:07,0 days 00:43:00,0 days 00:43:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2553,-F,14/06/2019 06:50,14/06/2019 14:53,SDU,CNF,14/06/2019 15:54,14/06/2019 16:24,0 days 06:21:00,0 days 04:45:00,0 days 01:36:00,0 days 00:00:00,0 days 00:00:00
AD4019,-F,15/06/2019 10:45,15/06/2019 18:26,SDU,VCP,15/06/2019 19:29,15/06/2019 19:59,0 days 01:51:00,0 days 01:51:00,0 days 00:00:00,0 days 01:51:00,0 days 00:00:00
AD2852,-F,18/06/2019 19:50,18/06/2019 23:32,CGR,CGB,19/06/2019 00:49,19/06/2019 02:19,0 days 02:31:00,0 days 02:31:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2445,-F,19/06/2019 16:50,19/06/2019 22:23,CWB,GRU,19/06/2019 23:26,19/06/2019 23:56,0 days 01:04:00,0 days 01:04:00,0 days 00:00:00,0 days 01:04:00,0 days 00:00:00
BUS,-IF,20/06/2019 16:00,20/06/2019 16:00,GRU,VCP,20/06/2019 18:00,20/06/2019 18:00,0 days 01:30:00,0 days 01:30:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4028,-F,21/06/2019 07:30,21/06/2019 09:10,VCP,SDU,21/06/2019 10:23,21/06/2019 10:53,0 days 06:27:00,0 days 00:00:00,0 days 06:27:00,0 days 00:00:00,0 days 00:00:00
AD2580,-F,22/06/2019 05:20,22/06/2019 14:24,CNF,VIX,22/06/2019 15:28,22/06/2019 15:58,0 days 02:27:00,0 days 00:25:00,0 days 02:02:00,0 days 00:25:00,0 days 02:02:00
AD4007,-F,23/06/2019 06:25,23/06/2019 11:28,SDU,VCP,23/06/2019 12:31,23/06/2019 13:01,0 days 03:44:00,0 days 00:00:00,0 days 03:44:00,0 days 00:00:00,0 days 00:00:00
AD4474,-F,26/06/2019 09:45,26/06/2019 15:12,VCP,PFB,26/06/2019 16:46,26/06/2019 17:16,0 days 03:34:00,0 days 02:50:00,0 days 00:44:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,04/07/2019 00:00,04/07/2019 00:00,VCP,VCP,04/07/2019 23:59,04/07/2019 23:59,0 days 09:51:00,0 days 06:01:00,0 days 03:50:00,0 days 00:00:00,0 days 00:00:00
AD9095,-F,05/07/2019 21:50,06/07/2019 02:48,AJU,VCP,06/07/2019 06:01,06/07/2019 06:31,0 days 05:29:00,0 days 00:00:00,0 days 05:29:00,0 days 00:00:00,0 days 03:00:00
AD2933,-F,12/07/2019 10:50,12/07/2019 18:21,SDU,VCP,12/07/2019 19:30,12/07/2019 20:00,0 days 03:40:00,0 days 03:40:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5403,-F,13/07/2019 11:40,13/07/2019 16:25,JJD,VCP,13/07/2019 19:50,13/07/2019 20:20,0 days 14:25:00,0 days 09:40:00,0 days 04:45:00,0 days 09:40:00,0 days 03:00:00
AD5158,-F,14/07/2019 22:45,15/07/2019 02:28,CGB,VCP,15/07/2019 05:26,15/07/2019 05:56,0 days 06:04:00,0 days 00:04:00,0 days 06:00:00,0 days 00:00:00,0 days 00:00:00
AD5709,-F,29/07/2019 07:25,29/07/2019 15:40,CAC,VCP,29/07/2019 16:56,29/07/2019 17:26,0 days 07:14:00,0 days 06:40:00,0 days 00:34:00,0 days 00:00:00,0 days 00:00:00
AD4412,-F,30/07/2019 12:40,30/07/2019 15:50,OPS,VCP,30/07/2019 19:04,30/07/2019 19:34,0 days 00:26:00,0 days 00:26:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4064,-F,02/08/2019 07:40,02/08/2019 10:26,FLN,VCP,02/08/2019 11:40,02/08/2019 12:10,0 days 03:50:00,0 days 00:00:00,0 days 03:50:00,0 days 00:00:00,0 days 00:00:00
AD4403,-F,03/08/2019 05:20,03/08/2019 08:25,POA,VCP,03/08/2019 10:09,03/08/2019 10:39,0 days 01:21:00,0 days 00:00:00,0 days 01:21:00,0 days 00:00:00,0 days 01:21:00
SNA,-IF,08/08/2019 00:00,08/08/2019 00:00,VCP,VCP,09/08/2019 00:00,09/08/2019 00:00,0 days 10:00:00,0 days 06:00:00,0 days 04:00:00,0 days 00:00:00,0 days 00:00:00
AD2891,-F,09/08/2019 22:00,10/08/2019 02:31,REC,VCP,10/08/2019 05:35,10/08/2019 06:05,0 days 05:55:00,0 days 00:00:00,0 days 05:55:00,0 days 00:00:00,0 days 03:00:00
AD4989,-F,13/09/2019 13:35,13/09/2019 20:22,GIG,VCP,13/09/2019 21:33,13/09/2019 22:03,0 days 00:12:00,0 days 00:12:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5439,-F,14/09/2019 12:00,14/09/2019 16:52,FOR,VCP,14/09/2019 20:24,14/09/2019 20:54,0 days 13:06:00,0 days 09:06:00,0 days 04:00:00,0 days 09:06:00,0 days 03:00:00
AD5283,-F,15/09/2019 22:00,16/09/2019 02:25,MCZ,VCP,16/09/2019 05:21,16/09/2019 05:51,0 days 06:09:00,0 days 00:09:00,0 days 06:00:00,0 days 00:00:00,0 days 00:00:00
AD5450,-F,20/09/2019 11:45,20/09/2019 15:42,BYO,VCP,20/09/2019 18:10,20/09/2019 18:40,0 days 02:15:00,0 days 02:15:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4159,-F,21/09/2019 08:55,21/09/2019 16:33,CNF,VCP,21/09/2019 17:48,21/09/2019 18:18,0 days 00:42:00,0 days 00:42:00,0 days 00:00:00,0 days 00:42:00,0 days 00:00:00
DGR,-IF,23/09/2019 16:15,23/09/2019 16:15,VCP,VCP,23/09/2019 18:55,23/09/2019 18:55,0 days 01:20:00,0 days 01:20:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
PP2,-IF,24/09/2019 17:15,24/09/2019 17:15,VCP,VCP,24/09/2019 18:15,24/09/2019 18:15,0 days 17:45:00,0 days 11:45:00,0 days 06:00:00,0 days 00:00:00,0 days 00:00:00
GCI,-IF,27/09/2019 13:15,27/09/2019 13:15,VCP,VCP,27/09/2019 17:15,27/09/2019 17:15,0 days 00:45:00,0 days 00:00:00,0 days 00:45:00,0 days 00:00:00,0 days 00:00:00
DGR,-IF,02/10/2019 17:15,02/10/2019 17:15,VCP,VCP,02/10/2019 18:35,02/10/2019 18:35,0 days 01:40:00,0 days 01:40:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2645,-F,05/10/2019 13:20,05/10/2019 20:55,CWB,GRU,05/10/2019 22:12,05/10/2019 22:42,0 days 00:43:00,0 days 00:43:00,0 days 00:00:00,0 days 00:43:00,0 days 00:00:00
AD4877,-F,06/10/2019 11:25,06/10/2019 19:33,SDU,CGH,06/10/2019 20:36,06/10/2019 21:06,0 days 04:39:00,0 days 04:39:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5024,-F,07/10/2019 13:45,07/10/2019 20:35,SDU,VCP,07/10/2019 21:47,07/10/2019 22:17,0 days 02:58:00,0 days 02:58:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2953,-F,08/10/2019 13:15,08/10/2019 20:38,CWB,SDU,08/10/2019 21:57,08/10/2019 22:27,0 days 00:58:00,0 days 00:58:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
REX,-IF,09/10/2019 11:25,09/10/2019 11:25,SDU,SDU,09/10/2019 14:25,09/10/2019 14:25,0 days 03:05:00,0 days 00:00:00,0 days 03:05:00,0 days 00:00:00,0 days 00:00:00
AD5798,-IF,10/10/2019 05:30,10/10/2019 06:19,SDU,VCP,10/10/2019 07:40,10/10/2019 08:10,0 days 14:20:00,0 days 04:30:00,0 days 09:50:00,0 days 00:00:00,0 days 00:00:00
BUS,-IF,19/10/2019 11:50,19/10/2019 11:50,CGH,VCP,19/10/2019 13:50,19/10/2019 13:50,0 days 00:10:00,0 days 00:00:00,0 days 00:10:00,0 days 00:00:00,0 days 00:10:00
AD5201,-F,21/10/2019 10:05,21/10/2019 15:40,CWB,VCP,21/10/2019 16:34,21/10/2019 17:04,0 days 00:11:00,0 days 00:00:00,0 days 00:11:00,0 days 00:00:00,0 days 00:00:00
AD4244,-F,25/10/2019 14:20,25/10/2019 22:12,SDU,NVT,25/10/2019 23:39,26/10/2019 00:09,0 days 04:16:00,0 days 04:16:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4036,-F,26/10/2019 16:25,26/10/2019 21:26,CNF,GYN,26/10/2019 22:55,26/10/2019 23:25,0 days 03:15:00,0 days 03:15:00,0 days 00:00:00,0 days 03:15:00,0 days 00:00:00
AD4879,-F,27/10/2019 14:40,27/10/2019 21:18,SDU,CGH,27/10/2019 22:21,27/10/2019 22:51,0 days 03:39:00,0 days 03:39:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4316,-F,28/10/2019 14:30,28/10/2019 21:28,SDU,VCP,28/10/2019 22:35,28/10/2019 23:05,0 days 01:25:00,0 days 01:25:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4877,-F,01/11/2019 13:00,01/11/2019 20:16,SDU,CGH,01/11/2019 21:16,01/11/2019 21:46,0 days 03:34:00,0 days 03:34:00,0 days 00:00:00,0 days 03:34:00,0 days 00:00:00
AD4869,-F,02/11/2019 13:20,02/11/2019 19:19,SDU,CGH,02/11/2019 20:20,02/11/2019 20:50,0 days 02:40:00,0 days 02:40:00,0 days 00:00:00,0 days 02:40:00,0 days 00:00:00
AD4869,-F,03/11/2019 11:30,03/11/2019 19:18,SDU,CGH,03/11/2019 20:23,03/11/2019 20:53,0 days 05:27:00,0 days 05:27:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4316,-F,04/11/2019 14:20,04/11/2019 21:29,SDU,VCP,04/11/2019 22:50,04/11/2019 23:20,0 days 12:40:00,0 days 06:40:00,0 days 06:00:00,0 days 00:00:00,0 days 00:00:00
AD4359,-F,08/11/2019 17:00,08/11/2019 22:53,CGB,SJP,09/11/2019 01:26,09/11/2019 01:56,0 days 06:59:00,0 days 04:04:00,0 days 02:55:00,0 days 00:00:00,0 days 00:00:00
AD5435,-F,09/11/2019 20:55,09/11/2019 23:54,BPS,GYN,10/11/2019 01:39,10/11/2019 02:09,0 days 00:51:00,0 days 00:51:00,0 days 00:00:00,0 days 00:51:00,0 days 00:00:00
AD2772,-F,10/11/2019 15:00,10/11/2019 19:48,CNF,SDU,10/11/2019 20:48,10/11/2019 23:05,0 days 12:55:00,0 days 06:55:00,0 days 06:00:00,0 days 00:00:00,0 days 00:00:00
GS,-IF,27/11/2019 08:15,27/11/2019 08:15,VCP,VCP,27/11/2019 17:15,27/11/2019 17:15,0 days 03:00:00,0 days 02:15:00,0 days 00:45:00,0 days 00:00:00,0 days 00:00:00
GS,-IF,28/11/2019 08:15,28/11/2019 08:15,VCP,VCP,28/11/2019 17:15,28/11/2019 17:15,0 days 03:00:00,0 days 02:15:00,0 days 00:45:00,0 days 00:00:00,0 days 00:00:00
GS,-IF,29/11/2019 08:15,29/11/2019 08:15,VCP,VCP,29/11/2019 17:15,29/11/2019 17:15,0 days 01:45:00,0 days 01:00:00,0 days 00:45:00,0 days 00:00:00,0 days 00:00:00
GS,-IF,03/12/2019 08:15,03/12/2019 08:15,VCP,VCP,03/12/2019 17:15,03/12/2019 17:15,0 days 01:45:00,0 days 01:00:00,0 days 00:45:00,0 days 00:00:00,0 days 00:00:00
APT,-IF,06/12/2019 11:15,06/12/2019 11:15,VCP,VCP,06/12/2019 15:15,06/12/2019 15:15,0 days 03:45:00,0 days 01:00:00,0 days 02:45:00,0 days 00:00:00,0 days 00:00:00
APT,-IF,07/12/2019 07:00,07/12/2019 07:00,VCP,VCP,07/12/2019 11:00,07/12/2019 11:00,0 days 08:00:00,0 days 01:00:00,0 days 07:00:00,0 days 01:00:00,0 days 07:00:00
APT,-IF,08/12/2019 07:00,08/12/2019 07:00,VCP,VCP,08/12/2019 11:00,08/12/2019 11:00,0 days 09:15:00,0 days 02:15:00,0 days 07:00:00,0 days 00:00:00,0 days 00:00:00
GS,-IF,09/12/2019 08:15,09/12/2019 08:15,VCP,VCP,09/12/2019 17:15,09/12/2019 17:15,0 days 01:15:00,0 days 00:30:00,0 days 00:45:00,0 days 00:00:00,0 days 00:00:00
SFX,-IF,12/12/2019 17:45,12/12/2019 17:45,VCP,VCP,12/12/2019 21:45,12/12/2019 21:45,0 days 10:00:00,0 days 08:15:00,0 days 01:45:00,0 days 00:00:00,0 days 00:00:00
APT,-IF,13/12/2019 19:45,13/12/2019 19:45,VCP,VCP,13/12/2019 23:45,13/12/2019 23:45,0 days 03:45:00,0 days 03:45:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
APT,-IF,14/12/2019 15:30,14/12/2019 15:30,VCP,VCP,14/12/2019 19:30,14/12/2019 19:30,0 days 21:00:00,0 days 10:30:00,0 days 10:30:00,0 days 10:30:00,0 days 03:00:00
SFX,-IF,18/12/2019 09:15,18/12/2019 09:15,VCP,VCP,18/12/2019 13:15,18/12/2019 13:15,2 days 18:30:00,1 days 12:00:00,1 days 06:30:00,0 days 00:00:00,0 days 00:00:00
APT,-IF,21/12/2019 19:45,21/12/2019 19:45,VCP,VCP,21/12/2019 23:45,21/12/2019 23:45,0 days 01:15:00,0 days 01:15:00,0 days 00:00:00,0 days 01:15:00,0 days 00:00:00
APT,-IF,27/12/2019 15:30,27/12/2019 15:30,VCP,VCP,27/12/2019 19:30,27/12/2019 19:30,0 days 12:15:00,0 days 10:30:00,0 days 01:45:00,0 days 00:00:00,0 days 00:00:00
APT,-IF,28/12/2019 19:45,28/12/2019 19:45,VCP,VCP,28/12/2019 23:45,28/12/2019 23:45,0 days 06:00:00,0 days 06:00:00,0 days 00:00:00,0 days 06:00:00,0 days 00:00:00
SFX,-IF,29/12/2019 17:45,29/12/2019 17:45,VCP,VCP,29/12/2019 21:45,29/12/2019 21:45,0 days 03:45:00,0 days 03:45:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
SFX,-IF,30/12/2019 13:30,30/12/2019 13:30,VCP,VCP,30/12/2019 17:30,30/12/2019 17:30,0 days 02:30:00,0 days 02:00:00,0 days 00:30:00,0 days 00:00:00,0 days 00:00:00
SFX,-IF,04/01/2020 13:30,04/01/2020 13:30,VCP,VCP,04/01/2020 17:30,04/01/2020 17:30,0 days 16:30:00,0 days 12:00:00,0 days 04:30:00,0 days 12:00:00,0 days 03:30:00
