Activity,Id_Leg,Checkin,Start,Dep,Arr,End,Checkout,Repouso Extra,Tempo Repouso Extra Diurno,Tempo Repouso Extra Noturno,Tempo Repouso Extra Especial Diurno,Tempo Repouso Extra Especial Noturno
AD9503,-IF,08/10/2022 12:40,08/10/2022 13:29,FLN,VCP,08/10/2022 14:41,08/10/2022 15:11,0 days 00:24:00,0 days 00:00:00,0 days 00:24:00,0 days 00:00:00,0 days 00:24:00
AD4745,-F,13/10/2022 06:45,13/10/2022 13:12,VCP,BSB,13/10/2022 14:53,13/10/2022 15:23,0 days 05:12:00,0 days 02:35:00,0 days 02:37:00,0 days 00:00:00,0 days 00:00:00
AD4459,-F,14/10/2022 08:35,14/10/2022 15:12,SLZ,CNF,14/10/2022 18:12,14/10/2022 18:42,0 days 00:33:00,0 days 00:33:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2465,-F,15/10/2022 07:15,15/10/2022 13:54,UNA,CGH,15/10/2022 16:00,15/10/2022 16:30,0 days 03:10:00,0 days 01:40:00,0 days 01:30:00,0 days 01:40:00,0 days 01:30:00
AD2754,-F,16/10/2022 07:40,16/10/2022 12:25,REC,THE,16/10/2022 14:03,16/10/2022 14:33,0 days 02:37:00,0 days 00:00:00,0 days 02:37:00,0 days 00:00:00,0 days 00:00:00
AD4335,-F,17/10/2022 05:10,17/10/2022 10:06,REC,VCP,17/10/2022 13:18,17/10/2022 13:48,0 days 06:42:00,0 days 02:30:00,0 days 04:12:00,0 days 00:00:00,0 days 00:00:00
AD2697,-IF,19/10/2022 22:30,19/10/2022 23:27,VCP,THE,20/10/2022 02:17,20/10/2022 02:47,0 days 00:43:00,0 days 00:43:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2634,-F,20/10/2022 15:30,20/10/2022 23:19,GYN,BPS,21/10/2022 01:00,21/10/2022 01:30,0 days 01:40:00,0 days 01:40:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4789,-F,21/10/2022 15:10,21/10/2022 21:19,CNF,VCP,21/10/2022 22:39,21/10/2022 23:09,0 days 00:26:00,0 days 00:26:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4568,-F,27/10/2022 05:10,27/10/2022 09:10,SSA,VCP,27/10/2022 11:34,27/10/2022 12:04,0 days 04:56:00,0 days 00:00:00,0 days 04:56:00,0 days 00:00:00,0 days 00:00:00
