Activity,Id_Leg,Checkin,Dep,Arr,Start,End,Checkout,Tempo Solo Diurno,Tempo Solo Noturno,Tempo Solo Especial Diurno,Tempo Solo Especial Noturno
AD2801,-F,02/02/2018 14:20,TBT,MAO,02/02/2018 21:52,02/02/2018 23:38,03/02/2018 00:08,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4113,-I,04/02/2018 06:30,MAO,PVH,04/02/2018 07:02,04/02/2018 08:31,04/02/2018 15:01,0 days 01:11:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2829,-M,04/02/2018 06:30,PVH,MAO,04/02/2018 09:42,04/02/2018 11:04,04/02/2018 15:01,0 days 00:41:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5244,-M,04/02/2018 06:30,MAO,TFF,04/02/2018 11:45,04/02/2018 12:58,04/02/2018 15:01,0 days 00:27:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5245,-F,04/02/2018 06:30,TFF,MAO,04/02/2018 13:25,04/02/2018 14:31,04/02/2018 15:01,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD9161,-I,05/02/2018 07:05,MAO,PVH,05/02/2018 08:04,05/02/2018 09:39,05/02/2018 15:31,0 days 00:32:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD9110,-M,05/02/2018 07:05,PVH,CGB,05/02/2018 10:11,05/02/2018 12:10,05/02/2018 15:31,0 days 00:35:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4487,-F,05/02/2018 07:05,CGB,VCP,05/02/2018 12:45,05/02/2018 15:01,05/02/2018 15:31,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD9288,-I,NaT,VCP,GIG,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4433,-M,NaT,GIG,VCP,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4233,-M,NaT,VCP,SDU,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4021,-F,NaT,SDU,VCP,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4260,-I,NaT,VCP,GIG,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4261,-M,NaT,GIG,VCP,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4474,-M,NaT,VCP,VCP,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4474,-F,NaT,VCP,PFB,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4148,-I,NaT,GYN,PMW,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4149,-M,NaT,PMW,GYN,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4149,-F,NaT,GYN,VCP,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2498,-I,05/03/2018 00:50,VCP,JDO,05/03/2018 01:39,05/03/2018 04:31,05/03/2018 08:55,0 days 00:00:00,0 days 00:59:00,0 days 00:00:00,0 days 00:00:00
AD2499,-F,05/03/2018 00:50,JDO,VCP,05/03/2018 05:30,05/03/2018 08:25,05/03/2018 08:55,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2669,-I,NaT,VCP,GIG,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2749,-M,NaT,GIG,VCP,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4496,-F,NaT,VCP,POA,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD9110,-I,NaT,VCP,BPS,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD9157,-M,NaT,BPS,GYN,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4289,-F,NaT,GYN,VCP,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5215,-I,04/04/2018 09:00,VCP,SDU,04/04/2018 09:47,04/04/2018 10:48,04/04/2018 18:32,0 days 00:41:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4005,-M,04/04/2018 09:00,SDU,VCP,04/04/2018 11:29,04/04/2018 12:49,04/04/2018 18:32,0 days 00:43:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4048,-M,04/04/2018 09:00,VCP,CNF,04/04/2018 13:32,04/04/2018 14:32,04/04/2018 18:32,0 days 02:12:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2468,-F,04/04/2018 09:00,CNF,VCP,04/04/2018 16:44,04/04/2018 18:02,04/04/2018 18:32,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5756,-I,05/04/2018 08:30,VCP,CWB,05/04/2018 09:09,05/04/2018 10:00,05/04/2018 16:15,0 days 01:06:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5756,-M,05/04/2018 08:30,CWB,IGU,05/04/2018 11:06,05/04/2018 12:29,05/04/2018 16:15,0 days 00:36:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5093,-M,05/04/2018 08:30,IGU,CWB,05/04/2018 13:05,05/04/2018 14:19,05/04/2018 16:15,0 days 00:27:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5093,-F,05/04/2018 08:30,CWB,VCP,05/04/2018 14:46,05/04/2018 15:45,05/04/2018 16:15,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2890,-I,12/04/2018 01:00,VCP,REC,12/04/2018 01:48,12/04/2018 05:00,12/04/2018 09:03,0 days 00:00:00,0 days 00:33:00,0 days 00:00:00,0 days 00:00:00
AD2891,-F,12/04/2018 01:00,REC,VCP,12/04/2018 05:33,12/04/2018 08:33,12/04/2018 09:03,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4204,-I,NaT,VCP,BYO,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4204,-M,NaT,BYO,CMG,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4204,-M,NaT,CMG,VCP,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4233,-F,NaT,VCP,SDU,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2434,-I,NaT,VCP,CGR,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5257,-M,NaT,CGR,VCP,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4092,-F,NaT,VCP,FLN,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4409,-I,NaT,JOI,VCP,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4008,-M,NaT,VCP,CGR,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4055,-F,NaT,CGR,VCP,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4063,-I,NaT,VCP,POA,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4059,-F,NaT,POA,VCP,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4361,-I,01/05/2018 23:55,VCP,CWB,02/05/2018 00:46,02/05/2018 01:39,02/05/2018 08:59,0 days 00:00:00,0 days 00:46:00,0 days 00:00:00,0 days 00:00:00
AD4203,-M,01/05/2018 23:55,CWB,MGF,02/05/2018 02:25,02/05/2018 03:24,02/05/2018 08:59,0 days 00:00:00,0 days 00:38:00,0 days 00:00:00,0 days 00:00:00
AD9126,-M,01/05/2018 23:55,MGF,CGB,02/05/2018 04:02,02/05/2018 05:41,02/05/2018 08:59,0 days 01:21:00,0 days 00:19:00,0 days 00:00:00,0 days 00:00:00
AD2934,-F,01/05/2018 23:55,CGB,CGR,02/05/2018 07:21,02/05/2018 08:29,02/05/2018 08:59,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5703,-I,03/05/2018 06:20,CGR,VCP,03/05/2018 06:55,03/05/2018 08:31,03/05/2018 13:56,0 days 00:51:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4031,-M,03/05/2018 06:20,VCP,POA,03/05/2018 09:22,03/05/2018 11:19,03/05/2018 13:56,0 days 00:24:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4403,-F,03/05/2018 06:20,POA,VCP,03/05/2018 11:43,03/05/2018 13:26,03/05/2018 13:56,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2498,-I,10/05/2018 01:05,VCP,JDO,10/05/2018 02:08,10/05/2018 04:56,10/05/2018 09:23,0 days 00:00:00,0 days 00:39:00,0 days 00:00:00,0 days 00:00:00
AD2499,-F,10/05/2018 01:05,JDO,VCP,10/05/2018 05:35,10/05/2018 08:53,10/05/2018 09:23,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2500,-I,11/05/2018 01:50,VCP,PNZ,11/05/2018 02:36,11/05/2018 05:03,11/05/2018 09:03,0 days 00:00:00,0 days 00:44:00,0 days 00:00:00,0 days 00:00:00
AD2503,-F,11/05/2018 01:50,PNZ,VCP,11/05/2018 05:47,11/05/2018 08:33,11/05/2018 09:03,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2576,-I,NaT,VCP,SSA,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2577,-M,NaT,SSA,VCP,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4092,-F,NaT,VCP,CWB,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4154,-I,NaT,CWB,VCP,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2709,-F,NaT,VCP,FLN,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5728,-I,NaT,FLN,XAP,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5749,-M,NaT,XAP,FLN,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
