Activity,Id_Leg,Checkin,Checkout,Repouso
FR,-IF,2018-04-08 14:59:00,2018-04-09 15:29:00,-1 days +23:30:00
FR,-IF,2018-04-09 14:59:00,2018-04-10 15:29:00,-1 days +23:30:00
FR,-IF,2018-04-10 14:59:00,2018-04-11 15:29:00,0 days 09:31:00
FR,-IF,2018-04-30 04:30:00,2018-05-01 05:00:00,0 days 18:55:00
AD2934,-F,2018-05-01 23:55:00,2018-05-02 08:59:00,0 days 21:21:00
AD4403,-F,2018-05-03 06:20:00,2018-05-03 13:56:00,0 days 13:04:00
FR,-IF,2018-05-04 03:00:00,2018-05-05 03:30:00,-1 days +23:30:00
FR,-IF,2018-05-05 03:00:00,2018-05-06 03:30:00,-1 days +23:30:00
FR,-IF,2018-05-06 03:00:00,2018-05-07 03:30:00,-1 days +23:30:00
FR,-IF,2018-05-07 03:00:00,2018-05-08 03:30:00,-1 days +23:30:00
SNA,-IF,2018-05-08 03:00:00,2018-05-09 03:29:00,0 days 21:36:00
AD2499,-F,2018-05-10 01:05:00,2018-05-10 09:23:00,0 days 16:27:00
AD2503,-F,2018-05-11 01:50:00,2018-05-11 09:03:00,0 days 17:57:00
AD4195,-F,2018-06-01 01:25:00,2018-06-01 10:51:00,0 days 21:29:00
AD5136,-IF,2018-06-02 08:20:00,2018-06-02 10:54:00,0 days 16:06:00
FR,-IF,2018-06-03 03:00:00,2018-06-04 03:30:00,-1 days +23:30:00
FR,-IF,2018-06-04 03:00:00,2018-06-05 03:30:00,-1 days +23:30:00
SNA,-IF,2018-06-05 03:00:00,2018-06-06 03:29:00,-1 days +23:31:00
SNA,-IF,2018-06-06 03:00:00,2018-06-07 03:29:00,0 days 21:46:00
AD5283,-F,2018-06-08 01:15:00,2018-06-08 09:16:00,1 days 01:04:00
AD4107,-F,2018-06-09 10:20:00,2018-06-09 17:23:00,1 days 09:37:00
FR,-IF,2018-06-11 03:00:00,2018-06-12 03:30:00,-1 days +23:30:00
FR,-IF,2018-06-30 03:00:00,2018-07-01 03:30:00,-1 days +23:30:00
