Activity,Id_Leg,Checkin,Checkout,Repouso
AD5374,-F,2020-02-06 02:00:00,2020-02-06 12:50:00,0 days 12:45:00
FR,-IF,2020-02-07 01:35:00,2020-02-08 01:35:00,0 days 00:00:00
FR,-IF,2020-02-08 01:35:00,2020-02-09 01:35:00,0 days 00:00:00
FR,-IF,2020-02-09 01:35:00,2020-02-10 01:35:00,0 days 00:00:00
FR,-IF,2020-02-10 01:35:00,2020-02-11 01:35:00,0 days 00:00:00
FR,-IF,2020-02-11 01:35:00,2020-02-12 01:35:00,0 days 11:40:00
AD6943,-F,2020-02-29 19:00:00,2020-03-01 02:40:00,0 days 22:40:00
AD6407,-IF,2020-03-02 01:20:00,2020-03-02 07:20:00,0 days 16:40:00
FR,-IF,2020-03-03 00:00:00,2020-03-04 00:00:00,0 days 00:00:00
FR,-IF,2020-03-04 00:00:00,2020-03-05 00:00:00,0 days 07:25:00
AD5066,-IF,2020-03-05 07:25:00,2020-03-05 11:56:00,0 days 13:24:00
AD5280,-F,2020-03-06 01:20:00,2020-03-06 09:50:00,0 days 12:30:00
AD2891,-F,2020-03-06 22:20:00,2020-03-07 06:45:00,1 days 05:25:00
AD4227,-F,2020-03-08 12:10:00,2020-03-08 16:59:00,0 days 12:46:00
FR,-IF,2020-03-09 05:45:00,2020-03-10 05:45:00,0 days 00:00:00
FR,-IF,2020-03-10 05:45:00,2020-03-11 05:45:00,0 days 01:25:00
AD2444,-F,2020-03-11 07:10:00,2020-03-11 15:06:00,0 days 14:09:00
AD2844,-IF,2020-03-12 05:15:00,2020-03-12 08:07:00,0 days 13:58:00
FR,-IF,2020-03-31 11:25:00,2020-04-01 11:25:00,0 days 00:00:00
DOP,-IF,2020-04-01 11:25:00,2020-04-01 23:59:00,0 days 00:01:00
DOP,-IF,2020-04-02 00:00:00,2020-04-02 23:59:00,0 days 00:01:00
DOP,-IF,2020-04-03 00:00:00,2020-04-03 23:59:00,0 days 00:01:00
DOP,-IF,2020-04-04 00:00:00,2020-04-04 23:59:00,0 days 00:01:00
DOP,-IF,2020-04-05 00:00:00,2020-04-05 23:59:00,0 days 00:01:00
DOP,-IF,2020-04-06 00:00:00,2020-04-06 23:59:00,0 days 00:01:00
DOP,-IF,2020-04-07 00:00:00,2020-04-07 23:59:00,0 days 00:01:00
DOP,-IF,2020-04-08 00:00:00,2020-04-08 23:59:00,0 days 00:01:00
DOP,-IF,2020-04-09 00:00:00,2020-04-09 23:59:00,0 days 00:01:00
DOP,-IF,2020-04-10 00:00:00,2020-04-10 23:59:00,0 days 00:01:00
DOP,-IF,2020-04-11 00:00:00,2020-04-11 23:59:00,0 days 00:01:00
F,-IF,2020-04-30 00:00:00,2020-05-01 00:00:00,0 days 00:00:00
F,-IF,2020-05-01 00:00:00,2020-05-02 00:00:00,0 days 00:00:00
F,-IF,2020-05-02 00:00:00,2020-05-03 00:00:00,0 days 00:00:00
F,-IF,2020-05-03 00:00:00,2020-05-04 00:00:00,0 days 00:00:00
F,-IF,2020-05-04 00:00:00,2020-05-05 00:00:00,0 days 00:00:00
F,-IF,2020-05-05 00:00:00,2020-05-06 00:00:00,0 days 00:00:00
F,-IF,2020-05-06 00:00:00,2020-05-07 00:00:00,0 days 00:00:00
F,-IF,2020-05-07 00:00:00,2020-05-08 00:00:00,0 days 00:00:00
F,-IF,2020-05-08 00:00:00,2020-05-09 00:00:00,0 days 00:00:00
F,-IF,2020-05-09 00:00:00,2020-05-10 00:00:00,0 days 00:00:00
F,-IF,2020-05-10 00:00:00,2020-05-11 00:00:00,0 days 00:00:00
F,-IF,2020-05-11 00:00:00,2020-05-12 00:00:00,0 days 00:00:00
F,-IF,2020-05-31 00:00:00,2020-06-01 00:00:00,0 days 00:00:00
F,-IF,2020-06-01 00:00:00,2020-06-02 00:00:00,0 days 00:00:00
F,-IF,2020-06-02 00:00:00,2020-06-03 00:00:00,0 days 00:00:00
F,-IF,2020-06-03 00:00:00,2020-06-04 00:00:00,0 days 00:00:00
F,-IF,2020-06-04 00:00:00,2020-06-05 00:00:00,0 days 00:00:00
F,-IF,2020-06-05 00:00:00,2020-06-06 00:00:00,0 days 00:00:00
F,-IF,2020-06-06 00:00:00,2020-06-07 00:00:00,0 days 00:00:00
F,-IF,2020-06-07 00:00:00,2020-06-08 00:00:00,0 days 00:00:00
F,-IF,2020-06-08 00:00:00,2020-06-09 00:00:00,0 days 00:00:00
SNA,-IF,2020-06-09 00:00:00,2020-06-10 00:00:00,0 days 00:00:00
F,-IF,2020-06-10 00:00:00,2020-06-11 00:00:00,0 days 00:00:00
F,-IF,2020-06-11 00:00:00,2020-06-12 00:00:00,0 days 00:00:00
FR,-IF,2020-06-30 00:00:00,2020-07-01 00:00:00,1 days 00:00:00
FR,-IF,2020-07-02 00:00:00,2020-07-03 00:00:00,0 days 00:00:00
FR,-IF,2020-07-03 00:00:00,2020-07-04 00:00:00,0 days 00:00:00
F,-IF,2020-07-04 00:00:00,2020-07-05 00:00:00,0 days 00:00:00
F,-IF,2020-07-05 00:00:00,2020-07-06 00:00:00,0 days 00:00:00
F,-IF,2020-07-06 00:00:00,2020-07-07 00:00:00,0 days 00:00:00
F,-IF,2020-07-07 00:00:00,2020-07-08 00:00:00,0 days 00:00:00
F,-IF,2020-07-08 00:00:00,2020-07-09 00:00:00,0 days 00:00:00
F,-IF,2020-07-09 00:00:00,2020-07-10 00:00:00,0 days 00:00:00
F,-IF,2020-07-10 00:00:00,2020-07-11 00:00:00,0 days 00:00:00
F,-IF,2020-07-11 00:00:00,2020-07-12 00:00:00,0 days 00:00:00
F,-IF,2020-07-31 00:00:00,2020-08-01 00:00:00,0 days 00:00:00
F,-IF,2020-08-01 00:00:00,2020-08-02 00:00:00,0 days 00:00:00
F,-IF,2020-08-02 00:00:00,2020-08-03 00:00:00,0 days 00:00:00
F,-IF,2020-08-03 00:00:00,2020-08-04 00:00:00,0 days 00:00:00
SNA,-IF,2020-08-04 00:00:00,2020-08-05 00:00:00,0 days 00:00:00
F,-IF,2020-08-05 00:00:00,2020-08-06 00:00:00,0 days 00:00:00
F,-IF,2020-08-06 00:00:00,2020-08-07 00:00:00,0 days 00:00:00
F,-IF,2020-08-07 00:00:00,2020-08-08 00:00:00,0 days 00:00:00
F,-IF,2020-08-08 00:00:00,2020-08-09 00:00:00,0 days 00:00:00
F,-IF,2020-08-09 00:00:00,2020-08-10 00:00:00,0 days 00:00:00
F,-IF,2020-08-10 00:00:00,2020-08-11 00:00:00,0 days 00:00:00
F,-IF,2020-08-11 00:00:00,2020-08-12 00:00:00,0 days 00:00:00
FR,-IF,2020-08-31 12:00:00,2020-09-01 12:00:00,0 days 00:00:00
FR,-IF,2020-09-01 12:00:00,2020-09-02 12:00:00,0 days 00:15:00
R12,-IF,2020-09-02 12:15:00,2020-09-02 15:15:00,0 days 17:01:00
AD4573,-F,2020-09-03 08:16:00,2020-09-03 17:28:00,0 days 15:07:00
AD4330,-F,2020-09-04 08:35:00,2020-09-04 17:23:00,0 days 18:52:00
AD4333,-F,2020-09-05 12:15:00,2020-09-05 20:58:00,0 days 13:02:00
FR,-IF,2020-09-06 10:00:00,2020-09-07 10:00:00,0 days 00:00:00
FR,-IF,2020-09-07 10:00:00,2020-09-08 10:00:00,0 days 21:40:00
AD2006,-F,2020-09-09 07:40:00,2020-09-09 18:21:00,1 days 05:39:00
FR,-IF,2020-09-11 00:00:00,2020-09-12 00:00:00,0 days 00:00:00
FER,-IF,2020-10-01 00:00:00,2020-10-02 00:00:00,0 days 00:00:00
FER,-IF,2020-10-02 00:00:00,2020-10-03 00:00:00,0 days 00:00:00
FER,-IF,2020-10-03 00:00:00,2020-10-04 00:00:00,0 days 00:00:00
FER,-IF,2020-10-04 00:00:00,2020-10-05 00:00:00,0 days 00:00:00
FER,-IF,2020-10-05 00:00:00,2020-10-06 00:00:00,0 days 00:00:00
FER,-IF,2020-10-06 00:00:00,2020-10-07 00:00:00,0 days 00:00:00
FER,-IF,2020-10-07 00:00:00,2020-10-08 00:00:00,0 days 00:00:00
FER,-IF,2020-10-08 00:00:00,2020-10-09 00:00:00,0 days 00:00:00
FER,-IF,2020-10-09 00:00:00,2020-10-10 00:00:00,0 days 00:00:00
FER,-IF,2020-10-10 00:00:00,2020-10-11 00:00:00,0 days 00:00:00
FER,-IF,2020-10-11 00:00:00,2020-10-12 00:00:00,0 days 00:00:00
FR,-IF,2020-10-31 00:00:00,2020-11-01 00:00:00,0 days 00:00:00
FR,-IF,2020-11-01 00:00:00,2020-11-02 00:00:00,0 days 00:00:00
FR,-IF,2020-11-02 00:00:00,2020-11-03 00:00:00,0 days 08:05:00
AD4562,-F,2020-11-03 08:05:00,2020-11-03 15:06:00,0 days 14:14:00
AD4329,-F,2020-11-04 05:20:00,2020-11-04 12:17:00,0 days 15:43:00
CMA,-IF,2020-11-05 04:00:00,2020-11-05 13:00:00,1 days 09:45:00
AD9243,-F,2020-11-06 22:45:00,2020-11-07 06:48:00,0 days 12:42:00
FR,-IF,2020-11-07 19:30:00,2020-11-08 19:30:00,0 days 00:00:00
FR,-IF,2020-11-08 19:30:00,2020-11-09 19:30:00,0 days 02:01:00
AD4170,-F,2020-11-09 21:31:00,2020-11-10 04:04:00,1 days 01:57:00
AD4544,-IF,2020-11-11 06:01:00,2020-11-11 08:35:00,0 days 12:55:00
FP,-IF,2020-11-30 00:45:00,2020-12-01 00:45:00,0 days 00:00:00
F,-IF,2020-12-01 00:45:00,2020-12-02 00:45:00,0 days 00:00:00
F,-IF,2020-12-02 00:45:00,2020-12-03 00:45:00,0 days 00:00:00
F,-IF,2020-12-03 00:45:00,2020-12-04 00:45:00,0 days 00:00:00
F,-IF,2020-12-04 00:45:00,2020-12-05 00:45:00,0 days 00:00:00
F,-IF,2020-12-05 00:45:00,2020-12-06 00:45:00,0 days 15:15:00
R16,-IF,2020-12-06 16:00:00,2020-12-06 19:00:00,0 days 17:00:00
P12,-IF,2020-12-07 12:00:00,2020-12-07 23:45:00,0 days 12:00:00
FR,-IF,2020-12-08 11:45:00,2020-12-09 11:45:00,0 days 20:25:00
PP1,-IF,2020-12-10 08:10:00,2020-12-10 12:10:00,0 days 01:00:00
PP1,-IF,2020-12-10 13:10:00,2020-12-10 17:10:00,0 days 00:00:00
PPS,-IF,2020-12-10 17:10:00,2020-12-10 18:40:00,0 days 12:00:00
FR,-IF,2020-12-11 06:40:00,2020-12-12 06:40:00,0 days 00:00:00
FR,-IF,2020-12-31 10:00:00,2021-01-01 10:00:00,0 days 00:00:00
FR,-IF,2021-01-01 10:00:00,2021-01-02 10:00:00,0 days 00:00:00
FP,-IF,2021-01-02 10:00:00,2021-01-03 10:00:00,0 days 00:00:00
FR,-IF,2021-01-03 10:00:00,2021-01-04 10:00:00,0 days 00:00:00
FR,-IF,2021-01-04 10:00:00,2021-01-05 10:00:00,0 days 14:00:00
SNA,-IF,2021-01-06 00:00:00,2021-01-07 00:00:00,0 days 08:05:00
AD9286,-IF,2021-01-07 08:05:00,2021-01-07 11:45:00,0 days 13:35:00
AD9067,-F,2021-01-08 01:20:00,2021-01-08 06:38:00,0 days 22:42:00
AD4568,-F,2021-01-09 05:20:00,2021-01-09 12:40:00,0 days 12:45:00
FR,-IF,2021-01-10 01:25:00,2021-01-11 01:25:00,0 days 00:00:00
AD4341,-F,2021-01-31 22:55:00,2021-02-01 05:25:00,0 days 18:35:00
SNA,-IF,2021-02-02 00:00:00,2021-02-03 00:00:00,0 days 11:15:00
SFX,-IF,2021-02-03 11:15:00,2021-02-03 15:15:00,0 days 20:00:00
SFX,-IF,2021-02-04 11:15:00,2021-02-04 15:15:00,0 days 20:00:00
SFX,-IF,2021-02-05 11:15:00,2021-02-05 15:15:00,0 days 12:30:00
FR,-IF,2021-02-06 03:45:00,2021-02-07 03:45:00,0 days 00:00:00
FR,-IF,2021-02-07 03:45:00,2021-02-08 03:45:00,0 days 19:10:00
AD4361,-F,2021-02-08 22:55:00,2021-02-09 05:22:00,0 days 18:38:00
SNA,-IF,2021-02-10 00:00:00,2021-02-11 00:00:00,0 days 00:00:00
FR,-IF,2021-02-11 00:00:00,2021-02-12 00:00:00,0 days 00:00:00
FR,-IF,2021-02-28 00:00:00,2021-03-01 00:00:00,0 days 17:25:00
AD4332,-IF,2021-03-01 17:25:00,2021-03-01 21:38:00,0 days 14:52:00
AD4519,-F,2021-03-02 12:30:00,2021-03-02 21:25:00,0 days 19:35:00
AD4429,-F,2021-03-03 17:00:00,2021-03-03 23:50:00,0 days 14:35:00
AD4565,-IF,2021-03-04 14:25:00,2021-03-04 16:55:00,0 days 18:50:00
AD4333,-F,2021-03-05 11:45:00,2021-03-05 21:15:00,0 days 15:00:00
P12,-IF,2021-03-06 12:15:00,2021-03-06 20:00:00,0 days 12:00:00
FR,-IF,2021-03-07 08:00:00,2021-03-08 08:00:00,0 days 00:00:00
FR,-IF,2021-03-08 08:00:00,2021-03-09 08:00:00,0 days 00:30:00
SE,-IF,2021-03-09 08:30:00,2021-03-09 16:30:00,0 days 14:00:00
AD4483,-F,2021-03-10 06:30:00,2021-03-10 12:18:00,1 days 06:57:00
FR,-IF,2021-03-31 09:15:00,2021-04-01 09:15:00,0 days 10:45:00
R20,-IF,2021-04-01 20:00:00,2021-04-01 23:30:00,0 days 14:30:00
P14,-IF,2021-04-02 14:00:00,2021-04-02 22:00:00,0 days 12:00:00
FR,-IF,2021-04-03 10:00:00,2021-04-04 10:00:00,0 days 00:00:00
FR,-IF,2021-04-04 10:00:00,2021-04-05 10:00:00,0 days 14:00:00
SNA,-IF,2021-04-06 00:00:00,2021-04-07 00:00:00,0 days 00:00:00
FR,-IF,2021-04-07 00:00:00,2021-04-08 00:00:00,0 days 00:00:00
FR,-IF,2021-04-08 00:00:00,2021-04-09 00:00:00,0 days 00:00:00
FR,-IF,2021-04-09 00:00:00,2021-04-10 00:00:00,0 days 00:00:00
FR,-IF,2021-04-10 00:00:00,2021-04-11 00:00:00,0 days 00:00:00
FR,-IF,2021-04-11 00:00:00,2021-04-12 00:00:00,0 days 00:00:00
AD4543,-IF,2021-05-01 19:00:00,2021-05-01 21:25:00,0 days 12:50:00
FR,-IF,2021-05-02 10:15:00,2021-05-03 10:15:00,0 days 00:00:00
FR,-IF,2021-05-03 10:15:00,2021-05-04 10:15:00,0 days 13:45:00
CMA,-IF,2021-05-05 00:00:00,2021-05-06 00:00:00,0 days 00:00:00
FR,-IF,2021-05-06 00:00:00,2021-05-07 00:00:00,0 days 00:00:00
FR,-IF,2021-05-07 00:00:00,2021-05-08 00:00:00,2 days 05:15:00
FR,-IF,2021-05-10 05:15:00,2021-05-11 05:15:00,0 days 18:45:00
FJC24,-IF,2021-05-31 00:00:00,2021-06-01 00:00:00,0 days 00:00:00
FJC24,-IF,2021-06-01 00:00:00,2021-06-02 00:00:00,0 days 00:00:00
LNR24,-IF,2021-06-02 00:00:00,2021-06-03 00:00:00,36 days 00:00:00
LNR24,-IF,2021-07-09 00:00:00,2021-07-10 00:00:00,0 days 00:00:00
LNR24,-IF,2021-07-10 00:00:00,2021-07-11 00:00:00,0 days 00:00:00
LNR24,-IF,2021-07-31 00:00:00,2021-08-01 00:00:00,0 days 00:00:00
F,-IF,2021-08-01 00:00:00,2021-08-02 00:00:00,0 days 08:10:00
EAD,-IF,2021-08-02 08:10:00,2021-08-02 10:10:00,0 days 00:00:00
EAD,-IF,2021-08-02 10:10:00,2021-08-02 11:10:00,0 days 00:00:00
EAD,-IF,2021-08-02 11:10:00,2021-08-02 12:10:00,0 days 01:00:00
EAD,-IF,2021-08-02 13:10:00,2021-08-02 15:10:00,0 days 00:00:00
EAD,-IF,2021-08-02 15:10:00,2021-08-02 16:10:00,0 days 00:00:00
EAD,-IF,2021-08-02 16:10:00,2021-08-02 18:10:00,0 days 14:00:00
AVS,-IF,2021-08-03 08:10:00,2021-08-03 09:00:00,0 days 00:10:00
AVS,-IF,2021-08-03 09:10:00,2021-08-03 10:00:00,0 days 00:10:00
AVS,-IF,2021-08-03 10:10:00,2021-08-03 11:00:00,0 days 00:10:00
AVS,-IF,2021-08-03 11:10:00,2021-08-03 12:00:00,0 days 00:00:00
AVS,-IF,2021-08-03 12:00:00,2021-08-03 12:10:00,0 days 01:00:00
GCI,-IF,2021-08-03 13:10:00,2021-08-03 17:10:00,0 days 00:00:00
EAD,-IF,2021-08-03 17:10:00,2021-08-03 18:10:00,0 days 14:00:00
EAD,-IF,2021-08-04 08:10:00,2021-08-04 17:10:00,0 days 00:00:00
EAD,-IF,2021-08-04 17:10:00,2021-08-04 18:10:00,0 days 14:05:00
EAD,-IF,2021-08-05 08:15:00,2021-08-05 09:45:00,0 days 00:00:00
EAD,-IF,2021-08-05 09:45:00,2021-08-05 12:15:00,0 days 01:00:00
EAD,-IF,2021-08-05 13:15:00,2021-08-05 14:15:00,0 days 00:00:00
EAD,-IF,2021-08-05 14:15:00,2021-08-05 17:10:00,0 days 00:00:00
EAD,-IF,2021-08-05 17:10:00,2021-08-05 18:00:00,0 days 00:00:00
EAD,-IF,2021-08-05 18:00:00,2021-08-05 18:15:00,0 days 15:55:00
EAD,-IF,2021-08-06 10:10:00,2021-08-06 12:10:00,0 days 01:00:00
EAD,-IF,2021-08-06 13:10:00,2021-08-06 16:05:00,0 days 00:00:00
EAD,-IF,2021-08-06 16:05:00,2021-08-06 16:55:00,0 days 00:00:00
EAD,-IF,2021-08-06 16:55:00,2021-08-06 17:10:00,0 days 13:50:00
F,-IF,2021-08-07 07:00:00,2021-08-08 07:00:00,0 days 00:00:00
F,-IF,2021-08-08 07:00:00,2021-08-09 07:00:00,0 days 03:00:00
PC3,-IF,2021-08-09 10:00:00,2021-08-09 11:00:00,0 days 19:00:00
SFX,-IF,2021-08-10 06:00:00,2021-08-10 10:00:00,1 days 00:15:00
SFX,-IF,2021-08-11 10:15:00,2021-08-11 14:15:00,0 days 20:00:00
FR,-IF,2021-08-31 18:30:00,2021-09-01 18:30:00,0 days 10:58:00
AD4431,-F,2021-09-02 05:28:00,2021-09-02 11:36:00,0 days 19:51:00
AD4761,-F,2021-09-03 07:27:00,2021-09-03 15:12:00,0 days 13:18:00
AD4590,-F,2021-09-04 04:30:00,2021-09-04 10:31:00,0 days 17:49:00
AD2491,-F,2021-09-05 04:20:00,2021-09-05 11:42:00,0 days 23:53:00
AD5041,-IF,2021-09-06 11:35:00,2021-09-06 15:39:00,0 days 12:51:00
FR,-IF,2021-09-07 04:30:00,2021-09-08 04:30:00,0 days 00:00:00
FR,-IF,2021-09-08 04:30:00,2021-09-09 04:30:00,0 days 00:00:00
FR,-IF,2021-09-09 04:30:00,2021-09-10 04:30:00,0 days 00:40:00
AD4846,-F,2021-09-10 05:10:00,2021-09-10 13:11:00,0 days 16:14:00
AD4769,-F,2021-09-11 05:25:00,2021-09-11 11:12:00,1 days 00:38:00
FR,-IF,2021-10-01 11:35:00,2021-10-02 11:35:00,0 days 19:40:00
AD4463,-F,2021-10-03 07:15:00,2021-10-03 16:42:00,0 days 19:28:00
AD4231,-F,2021-10-04 12:10:00,2021-10-04 16:22:00,0 days 20:03:00
AD4545,-F,2021-10-05 12:25:00,2021-10-05 22:07:00,0 days 23:53:00
AD2649,-F,2021-10-06 22:00:00,2021-10-07 07:30:00,0 days 14:30:00
AD2953,-F,2021-10-07 22:00:00,2021-10-08 05:40:00,0 days 18:20:00
FR,-IF,2021-10-09 00:00:00,2021-10-10 00:00:00,0 days 00:00:00
FR,-IF,2021-10-10 00:00:00,2021-10-11 00:00:00,0 days 07:45:00
FR,-IF,2021-10-31 20:00:00,2021-11-01 20:00:00,0 days 00:00:00
FR,-IF,2021-11-01 20:00:00,2021-11-02 20:00:00,0 days 04:00:00
FER,-IF,2021-11-03 00:00:00,2021-11-04 00:00:00,0 days 00:00:00
FER,-IF,2021-11-04 00:00:00,2021-11-05 00:00:00,0 days 00:00:00
FER,-IF,2021-11-05 00:00:00,2021-11-06 00:00:00,0 days 00:00:00
FER,-IF,2021-11-06 00:00:00,2021-11-07 00:00:00,0 days 00:00:00
FER,-IF,2021-11-07 00:00:00,2021-11-08 00:00:00,0 days 00:00:00
FER,-IF,2021-11-08 00:00:00,2021-11-09 00:00:00,0 days 00:00:00
FER,-IF,2021-11-09 00:00:00,2021-11-10 00:00:00,0 days 00:00:00
FER,-IF,2021-11-10 00:00:00,2021-11-11 00:00:00,0 days 00:00:00
FER,-IF,2021-11-11 00:00:00,2021-11-12 00:00:00,0 days 00:00:00
FER,-IF,2021-11-30 00:00:00,2021-12-01 00:00:00,0 days 00:00:00
FER,-IF,2021-12-01 00:00:00,2021-12-02 00:00:00,0 days 00:00:00
FER,-IF,2021-12-02 00:00:00,2021-12-03 00:00:00,0 days 00:00:00
FP,-IF,2021-12-03 00:00:00,2021-12-04 00:00:00,0 days 00:00:00
FP,-IF,2021-12-04 00:00:00,2021-12-05 00:00:00,0 days 00:00:00
FR,-IF,2021-12-05 00:00:00,2021-12-06 00:00:00,0 days 00:00:00
CMA,-IF,2021-12-06 00:00:00,2021-12-07 00:00:00,0 days 00:00:00
SNA,-IF,2021-12-07 00:00:00,2021-12-08 00:00:00,0 days 07:45:00
AD4345,-F,2021-12-08 07:45:00,2021-12-08 16:33:00,0 days 17:42:00
AD4339,-F,2021-12-09 10:15:00,2021-12-09 20:35:00,0 days 15:10:00
FR,-IF,2021-12-10 11:45:00,2021-12-11 11:45:00,0 days 19:15:00
FR,-IF,2021-12-31 09:20:00,2022-01-01 09:20:00,0 days 00:00:00
FR,-IF,2022-01-01 09:20:00,2022-01-02 09:20:00,0 days 00:00:00
FR,-IF,2022-01-02 09:20:00,2022-01-03 09:20:00,0 days 00:00:00
FR,-IF,2022-01-03 09:20:00,2022-01-04 09:20:00,0 days 00:00:00
FP,-IF,2022-01-04 09:20:00,2022-01-05 09:20:00,0 days 04:00:00
AD4915,-F,2022-01-05 13:20:00,2022-01-06 00:55:00,0 days 13:10:00
AD9118,-F,2022-01-06 14:05:00,2022-01-07 00:53:00,0 days 13:12:00
AD4527,-IF,2022-01-07 14:05:00,2022-01-07 15:54:00,0 days 15:46:00
AD2578,-F,2022-01-08 07:40:00,2022-01-08 17:40:00,0 days 12:20:00
AD2599,-IF,2022-01-09 06:00:00,2022-01-09 10:48:00,0 days 13:12:00
FR,-IF,2022-01-10 00:00:00,2022-01-11 00:00:00,0 days 00:00:00
FR,-IF,2022-01-11 00:00:00,2022-01-12 00:00:00,0 days 00:00:00
SFX,-IF,2022-02-01 14:30:00,2022-02-01 18:30:00,0 days 12:30:00
FR,-IF,2022-02-02 07:00:00,2022-02-03 07:00:00,0 days 00:00:00
FR,-IF,2022-02-03 07:00:00,2022-02-04 07:00:00,0 days 06:30:00
AD9103,-F,2022-02-04 13:30:00,2022-02-05 00:31:00,0 days 18:19:00
AD4823,-F,2022-02-05 18:50:00,2022-02-06 01:21:00,0 days 15:19:00
AD4208,-F,2022-02-06 16:40:00,2022-02-06 23:33:00,0 days 19:12:00
AD4248,-F,2022-02-07 18:45:00,2022-02-08 00:42:00,0 days 17:48:00
AD4850,-IF,2022-02-08 18:30:00,2022-02-08 21:20:00,0 days 12:45:00
FR,-IF,2022-02-09 10:05:00,2022-02-10 10:05:00,0 days 00:00:00
FR,-IF,2022-02-10 10:05:00,2022-02-11 10:05:00,0 days 00:00:00
FR,-IF,2022-02-11 10:05:00,2022-02-12 10:05:00,0 days 00:00:00
AD2641,-F,2022-03-01 07:45:00,2022-03-01 19:05:00,0 days 12:40:00
AD2656,-F,2022-03-02 07:45:00,2022-03-02 16:13:00,0 days 13:17:00
FR,-IF,2022-03-03 05:30:00,2022-03-04 05:30:00,0 days 00:00:00
FR,-IF,2022-03-04 05:30:00,2022-03-05 05:30:00,0 days 06:30:00
AD2409,-F,2022-03-05 12:00:00,2022-03-05 20:25:00,0 days 13:36:00
FAL,-IF,2022-03-06 10:01:00,2022-03-06 23:59:00,0 days 06:02:00
FR,-IF,2022-03-07 06:01:00,2022-03-08 06:01:00,0 days 00:00:00
FR,-IF,2022-03-08 06:01:00,2022-03-09 06:01:00,0 days 00:00:00
FR,-IF,2022-03-09 06:01:00,2022-03-10 06:01:00,0 days 00:00:00
FR,-IF,2022-03-10 06:01:00,2022-03-11 06:01:00,0 days 13:34:00
AD2652,-F,2022-03-11 19:35:00,2022-03-12 04:10:00,0 days 12:40:00
LFA,-IF,2022-04-01 00:00:00,2022-04-01 08:00:00,0 days 02:00:00
PLT,-IF,2022-04-01 10:00:00,2022-04-01 10:55:00,0 days 01:30:00
AD2810,-IF,2022-04-01 12:25:00,2022-04-01 17:09:00,0 days 14:36:00
AD4508,-IF,2022-04-02 07:45:00,2022-04-02 12:07:00,0 days 12:53:00
FR,-IF,2022-04-03 01:00:00,2022-04-04 01:00:00,0 days 00:00:00
FR,-IF,2022-04-04 01:00:00,2022-04-05 01:00:00,0 days 00:00:00
SNA,-IF,2022-04-05 01:00:00,2022-04-06 01:00:00,0 days 00:00:00
FP,-IF,2022-04-06 01:00:00,2022-04-07 01:00:00,0 days 00:00:00
FP,-IF,2022-04-07 01:00:00,2022-04-08 01:00:00,0 days 00:00:00
FP,-IF,2022-04-08 01:00:00,2022-04-09 01:00:00,0 days 00:00:00
SNA,-IF,2022-04-09 01:00:00,2022-04-10 01:00:00,0 days 00:00:00
SNA,-IF,2022-04-10 01:00:00,2022-04-11 01:00:00,0 days 00:00:00
SNA,-IF,2022-04-11 01:00:00,2022-04-12 01:00:00,0 days 00:00:00
AD4241,-F,2022-05-01 10:55:00,2022-05-01 21:49:00,0 days 21:11:00
AD4612,-IF,2022-05-02 19:00:00,2022-05-02 22:48:00,0 days 14:32:00
AD2755,-IF,2022-05-03 13:20:00,2022-05-03 16:12:00,0 days 19:23:00
FR,-IF,2022-05-04 11:35:00,2022-05-05 11:35:00,0 days 00:00:00
FR,-IF,2022-05-05 11:35:00,2022-05-06 11:35:00,0 days 00:00:00
FR,-IF,2022-05-06 11:35:00,2022-05-07 11:35:00,0 days 00:00:00
FR,-IF,2022-05-07 11:35:00,2022-05-08 11:35:00,0 days 00:00:00
FR,-IF,2022-05-08 11:35:00,2022-05-09 11:35:00,0 days 09:10:00
AD2629,-IF,2022-05-09 20:45:00,2022-05-10 01:51:00,1 days 01:39:00
AD4109,-F,2022-05-11 03:30:00,2022-05-11 11:37:00,1 days 01:03:00
SNA,-IF,2022-06-01 00:50:00,2022-06-02 00:00:00,0 days 00:00:00
SNA,-IF,2022-06-02 00:00:00,2022-06-03 00:00:00,0 days 00:00:00
FR,-IF,2022-06-03 00:00:00,2022-06-04 00:00:00,0 days 00:00:00
SNA,-IF,2022-06-04 00:00:00,2022-06-05 00:00:00,0 days 00:00:00
SNA,-IF,2022-06-05 00:00:00,2022-06-06 00:00:00,0 days 07:10:00
AD4763,-F,2022-06-06 07:10:00,2022-06-06 17:54:00,0 days 23:41:00
AD4451,-F,2022-06-07 17:35:00,2022-06-08 02:06:00,0 days 23:44:00
AD4383,-IF,2022-06-09 01:50:00,2022-06-09 07:34:00,0 days 16:26:00
FR,-IF,2022-06-10 00:00:00,2022-06-11 00:00:00,0 days 00:00:00
FR,-IF,2022-06-11 00:00:00,2022-06-12 00:00:00,0 days 00:00:00
FR,-IF,2022-06-30 00:00:00,2022-07-01 00:00:00,0 days 00:00:00
CMA,-IF,2022-07-01 00:00:00,2022-07-02 00:00:00,0 days 12:35:00
AD4853,-F,2022-07-02 12:35:00,2022-07-03 00:23:00,1 days 04:12:00
AD4274,-F,2022-07-04 04:35:00,2022-07-04 12:01:00,0 days 13:29:00
FR,-IF,2022-07-05 01:30:00,2022-07-06 01:30:00,0 days 10:30:00
P12,-IF,2022-07-06 12:00:00,2022-07-06 15:00:00,0 days 16:46:00
