Activity,Id_Leg,Checkin,Checkout,Jornada
AD5245,-F,2018-02-04 06:30:00,2018-02-04 15:01:00,0 days 09:01:00
AD9161,-I,2018-02-05 07:05:00,2018-02-05 15:31:00,0 days 00:00:00
AD9110,-M,2018-02-05 07:05:00,2018-02-05 15:31:00,0 days 00:00:00
AD4487,-F,2018-02-05 07:05:00,2018-02-05 15:31:00,0 days 08:56:00
FR,-IF,2018-02-06 10:25:00,2018-02-07 10:55:00,1 days 01:00:00
FR,-IF,2018-02-07 10:25:00,2018-02-08 10:55:00,1 days 01:00:00
SNA,-IF,2018-02-08 12:00:00,2018-02-08 17:30:00,0 days 06:00:00
LOP,-IF,2018-02-09 09:15:00,2018-02-09 22:10:00,0 days 13:25:00
LOP,-IF,2018-02-10 08:30:00,2018-02-10 21:30:00,0 days 13:30:00
LOP,-IF,2018-02-11 05:15:00,2018-02-11 19:45:00,0 days 15:00:00
SE,-IF,2018-03-01 07:00:00,2018-03-01 19:30:00,0 days 13:00:00
SNA,-IF,2018-03-02 12:00:00,2018-03-02 19:30:00,0 days 08:00:00
FR,-IF,2018-03-03 20:40:00,2018-03-04 21:10:00,1 days 01:00:00
AD2498,-I,2018-03-05 00:50:00,2018-03-05 08:55:00,0 days 00:00:00
AD2499,-F,2018-03-05 00:50:00,2018-03-05 08:55:00,0 days 08:35:00
FR,-IF,2018-03-05 22:05:00,2018-03-06 22:35:00,1 days 01:00:00
R21,-IF,2018-03-07 23:50:00,2018-03-08 03:20:00,0 days 04:00:00
SNA,-IF,2018-03-09 12:00:00,2018-03-09 19:30:00,0 days 08:00:00
DMI,-IF,2018-03-09 21:10:00,2018-03-10 01:15:00,0 days 04:35:00
DMI,-IF,2018-03-10 09:15:00,2018-03-11 00:25:00,0 days 15:40:00
DMI,-IF,2018-03-11 08:50:00,2018-03-11 21:50:00,0 days 13:30:00
FR,-IF,2018-04-01 03:00:00,2018-04-02 03:30:00,1 days 01:00:00
FR,-IF,2018-04-02 03:00:00,2018-04-03 03:30:00,1 days 01:00:00
SNA,-IF,2018-04-03 03:01:00,2018-04-04 03:29:00,1 days 00:58:00
AD5215,-I,2018-04-04 09:00:00,2018-04-04 18:32:00,0 days 00:00:00
AD4005,-M,2018-04-04 09:00:00,2018-04-04 18:32:00,0 days 00:00:00
AD4048,-M,2018-04-04 09:00:00,2018-04-04 18:32:00,0 days 00:00:00
AD2468,-F,2018-04-04 09:00:00,2018-04-04 18:32:00,0 days 10:02:00
AD5756,-I,2018-04-05 08:30:00,2018-04-05 16:15:00,0 days 00:00:00
AD5756,-M,2018-04-05 08:30:00,2018-04-05 16:15:00,0 days 00:00:00
AD5093,-M,2018-04-05 08:30:00,2018-04-05 16:15:00,0 days 00:00:00
AD5093,-F,2018-04-05 08:30:00,2018-04-05 16:15:00,0 days 08:15:00
SNA,-IF,2018-04-06 03:01:00,2018-04-07 03:29:00,1 days 00:58:00
FR,-IF,2018-04-07 14:59:00,2018-04-08 15:29:00,1 days 01:00:00
FR,-IF,2018-04-08 14:59:00,2018-04-09 15:29:00,1 days 01:00:00
FR,-IF,2018-04-09 14:59:00,2018-04-10 15:29:00,1 days 01:00:00
FR,-IF,2018-04-10 14:59:00,2018-04-11 15:29:00,1 days 01:00:00
AD2890,-I,2018-04-12 01:00:00,2018-04-12 09:03:00,0 days 00:00:00
AD2891,-F,2018-04-12 01:00:00,2018-04-12 09:03:00,0 days 08:33:00
AD4361,-I,2018-05-01 23:55:00,2018-05-02 08:59:00,0 days 00:00:00
AD4203,-M,2018-05-01 23:55:00,2018-05-02 08:59:00,0 days 00:00:00
AD9126,-M,2018-05-01 23:55:00,2018-05-02 08:59:00,0 days 00:00:00
AD2934,-F,2018-05-01 23:55:00,2018-05-02 08:59:00,0 days 09:34:00
AD5703,-I,2018-05-03 06:20:00,2018-05-03 13:56:00,0 days 00:00:00
AD4031,-M,2018-05-03 06:20:00,2018-05-03 13:56:00,0 days 00:00:00
AD4403,-F,2018-05-03 06:20:00,2018-05-03 13:56:00,0 days 08:06:00
FR,-IF,2018-05-04 03:00:00,2018-05-05 03:30:00,1 days 01:00:00
FR,-IF,2018-05-05 03:00:00,2018-05-06 03:30:00,1 days 01:00:00
FR,-IF,2018-05-06 03:00:00,2018-05-07 03:30:00,1 days 01:00:00
FR,-IF,2018-05-07 03:00:00,2018-05-08 03:30:00,1 days 01:00:00
SNA,-IF,2018-05-08 03:00:00,2018-05-09 03:29:00,1 days 00:59:00
AD2498,-I,2018-05-10 01:05:00,2018-05-10 09:23:00,0 days 00:00:00
AD2499,-F,2018-05-10 01:05:00,2018-05-10 09:23:00,0 days 08:48:00
AD2500,-I,2018-05-11 01:50:00,2018-05-11 09:03:00,0 days 00:00:00
AD2503,-F,2018-05-11 01:50:00,2018-05-11 09:03:00,0 days 07:43:00
AD2498,-I,2018-06-01 01:25:00,2018-06-01 10:51:00,0 days 00:00:00
AD2499,-M,2018-06-01 01:25:00,2018-06-01 10:51:00,0 days 00:00:00
AD4195,-F,2018-06-01 01:25:00,2018-06-01 10:51:00,0 days 09:56:00
AD5136,-IF,2018-06-02 08:20:00,2018-06-02 10:54:00,0 days 03:04:00
FR,-IF,2018-06-03 03:00:00,2018-06-04 03:30:00,1 days 01:00:00
FR,-IF,2018-06-04 03:00:00,2018-06-05 03:30:00,1 days 01:00:00
SNA,-IF,2018-06-05 03:00:00,2018-06-06 03:29:00,1 days 00:59:00
SNA,-IF,2018-06-06 03:00:00,2018-06-07 03:29:00,1 days 00:59:00
AD5282,-I,2018-06-08 01:15:00,2018-06-08 09:16:00,0 days 00:00:00
AD5283,-F,2018-06-08 01:15:00,2018-06-08 09:16:00,0 days 08:31:00
AD4450,-I,2018-06-09 10:20:00,2018-06-09 17:23:00,0 days 00:00:00
AD4107,-F,2018-06-09 10:20:00,2018-06-09 17:23:00,0 days 07:33:00
FR,-IF,2018-06-11 03:00:00,2018-06-12 03:30:00,1 days 01:00:00
FR,-IF,2018-07-01 03:00:00,2018-07-02 03:30:00,1 days 01:00:00
SNA,-IF,2018-07-02 03:00:00,2018-07-03 03:30:00,1 days 01:00:00
SNA,-IF,2018-07-03 03:00:00,2018-07-04 03:30:00,1 days 01:00:00
SNA,-IF,2018-07-04 03:00:00,2018-07-05 03:30:00,1 days 01:00:00
AD5168,-I,2018-07-05 17:10:00,2018-07-06 02:09:00,0 days 00:00:00
