Activity,Id_Leg,Checkin,Start,End,Checkout,Tempo Solo
AD2978,-I,2019-05-08 07:40:00,2019-05-08 08:29:00,2019-05-08 09:49:00,2019-05-08 14:35:00,0 days 00:37:00
AD4064,-M,2019-05-08 07:40:00,2019-05-08 10:26:00,2019-05-08 11:36:00,2019-05-08 14:35:00,0 days 01:11:00
AD4986,-I,2019-05-09 05:35:00,2019-05-09 06:15:00,2019-05-09 07:23:00,2019-05-09 10:10:00,0 days 01:07:00
AD2458,-I,2019-05-09 22:50:00,2019-05-09 23:28:00,2019-05-10 00:28:00,2019-05-10 05:30:00,0 days 01:50:00
AD2434,-I,2019-05-16 17:55:00,2019-05-16 18:41:00,2019-05-16 19:23:00,2019-05-17 01:08:00,0 days 00:43:00
AD5257,-M,2019-05-16 17:55:00,2019-05-16 20:06:00,2019-05-16 22:54:00,2019-05-17 01:08:00,0 days 00:45:00
AD4080,-M,2019-06-13 07:30:00,2019-06-13 09:10:00,2019-06-13 12:43:00,2019-06-13 18:07:00,0 days 01:52:00
AD4004,-I,2019-06-14 06:50:00,2019-06-14 07:40:00,2019-06-14 08:40:00,2019-06-14 16:24:00,0 days 00:45:00
AD5790,-M,2019-06-14 06:50:00,2019-06-14 09:25:00,2019-06-14 10:59:00,2019-06-14 16:24:00,0 days 00:30:00
AD4236,-M,2019-06-14 06:50:00,2019-06-14 11:29:00,2019-06-14 12:54:00,2019-06-14 16:24:00,0 days 01:59:00
AD5071,-I,2019-06-15 10:45:00,2019-06-15 11:45:00,2019-06-15 12:47:00,2019-06-15 19:59:00,0 days 01:04:00
AD6976,-M,2019-06-15 10:45:00,2019-06-15 13:51:00,2019-06-15 15:22:00,2019-06-15 19:59:00,0 days 00:34:00
AD6977,-M,2019-06-15 10:45:00,2019-06-15 15:56:00,2019-06-15 17:33:00,2019-06-15 19:59:00,0 days 00:53:00
AD4146,-I,2019-06-18 19:50:00,2019-06-18 20:36:00,2019-06-18 21:39:00,2019-06-19 02:19:00,0 days 00:54:00
AD2852,-M,2019-06-18 19:50:00,2019-06-18 22:33:00,2019-06-18 23:00:00,2019-06-19 02:19:00,0 days 00:32:00
AD2479,-I,2019-06-19 16:50:00,2019-06-19 16:32:00,2019-06-19 19:14:00,2019-06-19 23:56:00,0 days 00:28:00
AD2479,-M,2019-06-19 16:50:00,2019-06-19 19:42:00,2019-06-19 20:35:00,2019-06-19 23:56:00,0 days 01:48:00
AD5136,-I,2019-06-22 05:20:00,2019-06-22 06:04:00,2019-06-22 07:19:00,2019-06-22 15:58:00,0 days 01:01:00
AD5280,-M,2019-06-22 05:20:00,2019-06-22 08:20:00,2019-06-22 09:36:00,2019-06-22 15:58:00,0 days 00:22:00
AD5454,-M,2019-06-22 05:20:00,2019-06-22 09:58:00,2019-06-22 11:24:00,2019-06-22 15:58:00,0 days 01:02:00
AD5467,-M,2019-06-22 05:20:00,2019-06-22 12:26:00,2019-06-22 13:48:00,2019-06-22 15:58:00,0 days 00:36:00
AD2989,-I,2019-06-23 06:25:00,2019-06-23 06:52:00,2019-06-23 07:58:00,2019-06-23 13:01:00,0 days 01:42:00
AD4264,-M,2019-06-23 06:25:00,2019-06-23 09:40:00,2019-06-23 10:50:00,2019-06-23 13:01:00,0 days 00:38:00
AD4253,-I,2019-06-26 09:45:00,2019-06-26 10:47:00,2019-06-26 12:23:00,2019-06-26 17:16:00,0 days 00:35:00
AD4252,-M,2019-06-26 09:45:00,2019-06-26 12:58:00,2019-06-26 14:32:00,2019-06-26 17:16:00,0 days 00:40:00
AD9801,-I,2019-06-27 08:50:00,2019-06-27 13:12:00,2019-06-27 14:27:00,2019-06-27 19:09:00,0 days 03:09:00
AD9094,-I,2019-07-05 21:50:00,2019-07-05 22:44:00,2019-07-06 01:18:00,2019-07-06 06:31:00,0 days 01:30:00
AD2937,-I,2019-07-12 10:50:00,2019-07-12 11:34:00,2019-07-12 12:43:00,2019-07-12 20:00:00,0 days 01:17:00
AD4298,-M,2019-07-12 10:50:00,2019-07-12 14:00:00,2019-07-12 15:31:00,2019-07-12 20:00:00,0 days 00:26:00
AD4299,-M,2019-07-12 10:50:00,2019-07-12 15:57:00,2019-07-12 17:12:00,2019-07-12 20:00:00,0 days 01:09:00
AD5402,-I,2019-07-13 11:40:00,2019-07-13 12:41:00,2019-07-13 16:02:00,2019-07-13 20:20:00,0 days 00:23:00
AD5059,-I,2019-07-14 22:45:00,2019-07-14 23:34:00,2019-07-15 00:43:00,2019-07-15 05:56:00,0 days 01:45:00
AD4293,-I,2019-07-29 07:25:00,2019-07-29 08:27:00,2019-07-29 09:38:00,2019-07-29 17:26:00,0 days 00:30:00
AD4487,-M,2019-07-29 07:25:00,2019-07-29 10:08:00,2019-07-29 13:09:00,2019-07-29 17:26:00,0 days 00:31:00
AD5704,-M,2019-07-29 07:25:00,2019-07-29 13:40:00,2019-07-29 15:16:00,2019-07-29 17:26:00,0 days 00:24:00
AD4411,-I,2019-07-30 12:40:00,2019-07-30 13:47:00,2019-07-30 15:27:00,2019-07-30 19:34:00,0 days 00:23:00
AD4058,-M,2019-07-31 08:00:00,2019-07-31 09:35:00,2019-07-31 11:25:00,2019-07-31 14:02:00,0 days 00:29:00
AD2978,-I,2019-08-02 07:40:00,2019-08-02 08:39:00,2019-08-02 09:56:00,2019-08-02 12:10:00,0 days 00:30:00
AD4031,-I,2019-08-03 05:20:00,2019-08-03 06:18:00,2019-08-03 07:51:00,2019-08-03 10:39:00,0 days 00:34:00
AD2890,-I,2019-08-09 22:00:00,2019-08-09 22:49:00,2019-08-10 01:57:00,2019-08-10 06:05:00,0 days 00:34:00
AD5168,-I,2019-09-13 13:35:00,2019-09-13 14:25:00,2019-09-13 15:55:00,2019-09-13 22:03:00,0 days 00:32:00
AD5169,-M,2019-09-13 13:35:00,2019-09-13 16:27:00,2019-09-13 17:47:00,2019-09-13 22:03:00,0 days 00:51:00
AD4988,-M,2019-09-13 13:35:00,2019-09-13 18:38:00,2019-09-13 19:50:00,2019-09-13 22:03:00,0 days 00:32:00
AD5438,-I,2019-09-14 12:00:00,2019-09-14 12:46:00,2019-09-14 16:07:00,2019-09-14 20:54:00,0 days 00:45:00
AD5282,-I,2019-09-15 22:00:00,2019-09-15 22:57:00,2019-09-16 01:40:00,2019-09-16 05:51:00,0 days 00:45:00
AD5450,-I,2019-09-20 11:45:00,2019-09-20 12:56:00,2019-09-20 14:07:00,2019-09-20 18:40:00,0 days 00:31:00
AD5450,-M,2019-09-20 11:45:00,2019-09-20 14:38:00,2019-09-20 15:21:00,2019-09-20 18:40:00,0 days 00:21:00
AD4058,-I,2019-09-21 08:55:00,2019-09-21 09:48:00,2019-09-21 11:30:00,2019-09-21 18:18:00,0 days 00:43:00
AD4331,-M,2019-09-21 08:55:00,2019-09-21 12:13:00,2019-09-21 13:39:00,2019-09-21 18:18:00,0 days 00:51:00
AD2475,-M,2019-09-21 08:55:00,2019-09-21 14:30:00,2019-09-21 15:33:00,2019-09-21 18:18:00,0 days 01:00:00
AD5704,-I,2019-10-05 13:20:00,2019-10-05 14:15:00,2019-10-05 16:20:00,2019-10-05 22:42:00,0 days 00:41:00
AD9640,-M,2019-10-05 13:20:00,2019-10-05 17:01:00,2019-10-05 17:33:00,2019-10-05 22:42:00,0 days 00:18:00
AD5709,-M,2019-10-05 13:20:00,2019-10-05 17:51:00,2019-10-05 19:06:00,2019-10-05 22:42:00,0 days 00:30:00
AD4110,-M,2019-10-05 13:20:00,2019-10-05 19:36:00,2019-10-05 20:29:00,2019-10-05 22:42:00,0 days 00:26:00
AD2665,-I,2019-10-06 11:25:00,2019-10-06 12:14:00,2019-10-06 13:16:00,2019-10-06 21:06:00,0 days 00:54:00
AD4296,-M,2019-10-06 11:25:00,2019-10-06 14:10:00,2019-10-06 15:11:00,2019-10-06 21:06:00,0 days 00:33:00
AD5123,-M,2019-10-06 11:25:00,2019-10-06 15:44:00,2019-10-06 16:40:00,2019-10-06 21:06:00,0 days 01:01:00
AD2556,-M,2019-10-06 11:25:00,2019-10-06 17:41:00,2019-10-06 18:49:00,2019-10-06 21:06:00,0 days 00:44:00
AD4862,-I,2019-10-07 13:45:00,2019-10-07 14:20:00,2019-10-07 15:09:00,2019-10-07 22:17:00,0 days 01:07:00
AD4869,-M,2019-10-07 13:45:00,2019-10-07 16:16:00,2019-10-07 17:23:00,2019-10-07 22:17:00,0 days 00:40:00
AD4870,-M,2019-10-07 13:45:00,2019-10-07 18:03:00,2019-10-07 18:58:00,2019-10-07 22:17:00,0 days 01:37:00
AD5114,-M,2019-10-08 13:15:00,2019-10-08 16:15:00,2019-10-08 17:15:00,2019-10-08 22:27:00,0 days 01:31:00
AD4237,-M,2019-10-08 13:15:00,2019-10-08 18:46:00,2019-10-08 20:09:00,2019-10-08 22:27:00,0 days 00:29:00
AD4004,-I,2019-10-19 06:55:00,2019-10-19 07:50:00,2019-10-19 08:43:00,2019-10-19 13:50:00,0 days 01:35:00
AD4133,-M,2019-10-21 10:05:00,2019-10-21 12:45:00,2019-10-21 13:38:00,2019-10-21 17:04:00,0 days 02:02:00
AD4016,-I,2019-10-25 14:20:00,2019-10-25 15:28:00,2019-10-25 16:36:00,2019-10-26 00:09:00,0 days 01:51:00
AD4873,-M,2019-10-25 14:20:00,2019-10-25 18:27:00,2019-10-25 19:28:00,2019-10-26 00:09:00,0 days 00:55:00
AD4876,-M,2019-10-25 14:20:00,2019-10-25 20:23:00,2019-10-25 21:21:00,2019-10-26 00:09:00,0 days 00:51:00
AD5175,-I,2019-10-26 16:25:00,2019-10-26 17:12:00,2019-10-26 18:31:00,2019-10-26 23:25:00,0 days 00:49:00
AD4949,-M,2019-10-26 16:25:00,2019-10-26 19:20:00,2019-10-26 20:22:00,2019-10-26 23:25:00,0 days 01:04:00
AD2643,-I,2019-10-27 14:40:00,2019-10-27 15:16:00,2019-10-27 17:09:00,2019-10-27 22:51:00,0 days 00:53:00
AD4871,-M,2019-10-27 14:40:00,2019-10-27 18:02:00,2019-10-27 19:12:00,2019-10-27 22:51:00,0 days 00:30:00
AD4876,-M,2019-10-27 14:40:00,2019-10-27 19:42:00,2019-10-27 20:40:00,2019-10-27 22:51:00,0 days 00:38:00
AD5808,-I,2019-10-28 14:30:00,2019-10-28 15:36:00,2019-10-28 16:49:00,2019-10-28 23:05:00,0 days 01:06:00
AD2813,-M,2019-10-28 14:30:00,2019-10-28 17:55:00,2019-10-28 19:11:00,2019-10-28 23:05:00,0 days 00:34:00
AD2406,-M,2019-10-28 14:30:00,2019-10-28 19:45:00,2019-10-28 20:46:00,2019-10-28 23:05:00,0 days 00:42:00
AD4104,-I,2019-11-01 13:00:00,2019-11-01 13:48:00,2019-11-01 14:37:00,2019-11-01 21:46:00,0 days 00:37:00
AD5201,-M,2019-11-01 13:00:00,2019-11-01 15:14:00,2019-11-01 16:16:00,2019-11-01 21:46:00,0 days 01:19:00
AD4004,-M,2019-11-01 13:00:00,2019-11-01 17:35:00,2019-11-01 18:41:00,2019-11-01 21:46:00,0 days 01:35:00
AD5808,-I,2019-11-02 13:20:00,2019-11-02 13:55:00,2019-11-02 15:04:00,2019-11-02 20:50:00,0 days 02:33:00
AD2781,-M,2019-11-02 13:20:00,2019-11-02 17:37:00,2019-11-02 18:39:00,2019-11-02 20:50:00,0 days 00:40:00
AD4860,-I,2019-11-03 11:30:00,2019-11-03 12:07:00,2019-11-03 13:04:00,2019-11-03 20:53:00,0 days 01:11:00
AD5312,-M,2019-11-03 11:30:00,2019-11-03 14:15:00,2019-11-03 16:04:00,2019-11-03 20:53:00,0 days 00:38:00
AD5313,-M,2019-11-03 11:30:00,2019-11-03 16:42:00,2019-11-03 18:22:00,2019-11-03 20:53:00,0 days 00:56:00
AD4864,-I,2019-11-04 14:20:00,2019-11-04 14:56:00,2019-11-04 15:52:00,2019-11-04 23:20:00,0 days 01:57:00
AD4871,-M,2019-11-04 14:20:00,2019-11-04 17:49:00,2019-11-04 18:51:00,2019-11-04 23:20:00,0 days 00:34:00
AD4876,-M,2019-11-04 14:20:00,2019-11-04 19:25:00,2019-11-04 20:26:00,2019-11-04 23:20:00,0 days 01:03:00
AD5740,-M,2019-11-08 17:00:00,2019-11-08 21:16:00,2019-11-08 22:23:00,2019-11-09 01:56:00,0 days 00:30:00
AD5442,-I,2019-11-09 20:55:00,2019-11-09 21:31:00,2019-11-09 23:25:00,2019-11-10 02:09:00,0 days 00:29:00
AD2638,-I,2019-11-10 15:00:00,2019-11-10 15:31:00,2019-11-10 16:47:00,2019-11-10 23:05:00,0 days 03:01:00
AD4109,-I,2020-01-15 12:40:00,2020-01-15 13:39:00,2020-01-15 15:58:00,2020-01-15 19:44:00,0 days 01:00:00
AD4470,-I,2020-01-16 08:35:00,2020-01-16 09:43:00,2020-01-16 13:10:00,2020-01-16 17:47:00,0 days 00:42:00
AD5100,-I,2020-01-26 18:05:00,2020-01-26 19:34:00,2020-01-26 22:31:00,2020-01-27 01:13:00,0 days 00:52:00
AD2883,-I,2020-01-27 14:50:00,2020-01-27 15:53:00,2020-01-27 17:08:00,2020-01-28 00:10:00,0 days 01:03:00
AD5108,-I,2020-01-28 14:15:00,2020-01-28 14:55:00,2020-01-28 16:12:00,2020-01-28 21:45:00,0 days 00:41:00
AD4209,-M,2020-01-28 14:15:00,2020-01-28 16:53:00,2020-01-28 18:09:00,2020-01-28 21:45:00,0 days 00:51:00
AD4115,-I,2020-01-29 17:15:00,2020-01-29 17:53:00,2020-01-29 19:16:00,2020-01-29 23:25:00,0 days 02:19:00
AD4174,-I,2020-01-30 22:55:00,2020-01-30 23:36:00,2020-01-31 01:59:00,2020-01-31 08:10:00,0 days 00:46:00
AD4171,-M,2020-01-30 22:55:00,2020-01-31 02:45:00,2020-01-31 05:11:00,2020-01-31 08:10:00,0 days 01:07:00
AD5011,-I,2020-02-02 14:55:00,2020-02-02 16:41:00,2020-02-02 17:52:00,2020-02-02 22:53:00,0 days 02:01:00
AD5346,-I,2020-02-03 12:05:00,2020-02-03 13:06:00,2020-02-03 14:29:00,2020-02-03 20:35:00,0 days 00:43:00
AD2885,-M,2020-02-03 12:05:00,2020-02-03 15:12:00,2020-02-03 16:25:00,2020-02-03 20:35:00,0 days 01:00:00
AD6944,-I,2020-02-06 02:00:00,2020-02-06 04:11:00,2020-02-06 08:52:00,2020-02-06 12:50:00,0 days 00:46:00
AD4138,-M,2020-02-13 07:00:00,2020-02-13 08:44:00,2020-02-13 10:13:00,2020-02-13 13:08:00,0 days 00:43:00
AD6973,-I,2020-02-16 06:30:00,2020-02-16 07:31:00,2020-02-16 10:22:00,2020-02-16 17:02:00,0 days 02:58:00
AD2612,-I,2020-02-20 16:15:00,2020-02-20 17:34:00,2020-02-20 19:16:00,2020-02-21 01:32:00,0 days 00:51:00
AD6988,-M,2020-02-20 16:15:00,2020-02-20 20:07:00,2020-02-20 22:57:00,2020-02-21 01:32:00,0 days 00:42:00
AD2885,-I,2020-02-21 14:10:00,2020-02-21 15:31:00,2020-02-21 16:51:00,2020-02-21 22:55:00,0 days 00:42:00
AD2883,-M,2020-02-21 14:10:00,2020-02-21 17:33:00,2020-02-21 17:47:00,2020-02-21 22:55:00,0 days 00:24:00
AD2883,-M,2020-02-21 14:10:00,2020-02-21 18:11:00,2020-02-21 20:39:00,2020-02-21 22:55:00,0 days 00:31:00
AD4080,-I,2020-02-26 08:10:00,2020-02-26 09:10:00,2020-02-26 12:16:00,2020-02-26 18:42:00,0 days 03:04:00
AD4121,-I,2020-02-27 09:30:00,2020-02-27 10:22:00,2020-02-27 11:26:00,2020-02-27 19:20:00,0 days 00:54:00
AD5216,-M,2020-02-27 09:30:00,2020-02-27 12:20:00,2020-02-27 15:05:00,2020-02-27 19:20:00,0 days 00:53:00
AD5055,-I,2020-02-28 11:40:00,2020-02-28 12:14:00,2020-02-28 13:58:00,2020-02-28 21:05:00,0 days 00:50:00
AD5042,-M,2020-02-28 11:40:00,2020-02-28 14:48:00,2020-02-28 16:34:00,2020-02-28 21:05:00,0 days 00:42:00
AD2428,-M,2020-02-28 11:40:00,2020-02-28 17:16:00,2020-02-28 18:35:00,2020-02-28 21:05:00,0 days 00:40:00
AD2432,-I,2020-02-29 19:00:00,2020-02-29 19:43:00,2020-02-29 22:09:00,2020-03-01 02:40:00,0 days 00:49:00
AD6407,-I,2020-03-06 01:20:00,2020-03-06 02:07:00,2020-03-06 06:43:00,2020-03-06 09:50:00,0 days 01:44:00
AD4174,-I,2020-03-06 22:20:00,2020-03-06 23:07:00,2020-03-07 01:42:00,2020-03-07 06:45:00,0 days 01:32:00
AD4044,-I,2020-03-08 12:10:00,2020-03-08 13:13:00,2020-03-08 14:27:00,2020-03-08 16:59:00,0 days 00:45:00
AD4469,-I,2020-03-11 07:10:00,2020-03-11 08:24:00,2020-03-11 09:50:00,2020-03-11 15:06:00,0 days 00:46:00
AD4432,-M,2020-03-11 07:10:00,2020-03-11 10:36:00,2020-03-11 12:11:00,2020-03-11 15:06:00,0 days 00:48:00
AD5352,-I,2020-03-12 22:05:00,2020-03-12 22:49:00,2020-03-13 01:36:00,2020-03-13 06:00:00,0 days 00:45:00
AD2874,-I,2020-03-14 10:25:00,2020-03-14 11:05:00,2020-03-14 12:16:00,2020-03-14 19:45:00,0 days 02:46:00
AD2875,-M,2020-03-14 10:25:00,2020-03-14 15:02:00,2020-03-14 16:07:00,2020-03-14 19:45:00,0 days 01:20:00
AD4378,-I,2020-08-27 08:45:00,2020-08-27 09:27:00,2020-08-27 12:42:00,2020-08-27 17:12:00,0 days 00:46:00
AD4490,-I,2020-08-28 06:40:00,2020-08-28 07:41:00,2020-08-28 09:13:00,2020-08-28 16:08:00,0 days 00:54:00
AD4491,-M,2020-08-28 06:40:00,2020-08-28 10:07:00,2020-08-28 11:41:00,2020-08-28 16:08:00,0 days 02:24:00
AD4411,-I,2020-08-29 04:55:00,2020-08-29 05:25:00,2020-08-29 07:04:00,2020-08-29 10:12:00,0 days 01:26:00
AD4599,-I,2020-08-30 10:10:00,2020-08-30 10:56:00,2020-08-30 12:23:00,2020-08-30 21:45:00,0 days 01:19:00
AD4330,-M,2020-08-30 10:10:00,2020-08-30 13:42:00,2020-08-30 16:41:00,2020-08-30 21:45:00,0 days 01:26:00
AD4370,-I,2020-09-03 08:16:00,2020-09-03 09:16:00,2020-09-03 11:48:00,2020-09-03 17:28:00,0 days 00:50:00
AD4572,-M,2020-09-03 08:16:00,2020-09-03 12:38:00,2020-09-03 14:14:00,2020-09-03 17:28:00,0 days 01:05:00
AD4568,-I,2020-09-04 08:35:00,2020-09-04 09:38:00,2020-09-04 11:53:00,2020-09-04 17:23:00,0 days 01:56:00
AD4526,-I,2020-09-05 12:15:00,2020-09-05 12:52:00,2020-09-05 13:33:00,2020-09-05 20:58:00,0 days 01:04:00
AD4527,-M,2020-09-05 12:15:00,2020-09-05 14:37:00,2020-09-05 15:22:00,2020-09-05 20:58:00,0 days 02:06:00
AD4698,-I,2020-09-09 07:40:00,2020-09-09 08:19:00,2020-09-09 09:41:00,2020-09-09 18:21:00,0 days 01:34:00
AD2005,-M,2020-09-09 07:40:00,2020-09-09 11:15:00,2020-09-09 13:25:00,2020-09-09 18:21:00,0 days 01:25:00
AD4431,-I,2020-09-15 08:05:00,2020-09-15 08:47:00,2020-09-15 11:14:00,2020-09-15 19:37:00,0 days 01:14:00
AD4562,-M,2020-09-15 08:05:00,2020-09-15 12:28:00,2020-09-15 14:05:00,2020-09-15 19:37:00,0 days 01:47:00
AD4372,-I,2020-09-16 22:55:00,2020-09-16 23:58:00,2020-09-17 02:06:00,2020-09-17 06:05:00,0 days 01:04:00
AD4079,-I,2020-11-03 08:05:00,2020-11-03 08:45:00,2020-11-03 11:45:00,2020-11-03 15:06:00,0 days 01:16:00
AD4161,-I,2020-11-04 05:20:00,2020-11-04 06:02:00,2020-11-04 07:52:00,2020-11-04 12:17:00,0 days 01:06:00
AD9242,-I,2020-11-06 22:45:00,2020-11-06 23:57:00,2020-11-07 02:37:00,2020-11-07 06:48:00,0 days 00:44:00
AD4451,-I,2020-11-09 21:31:00,2020-11-09 22:11:00,2020-11-10 00:57:00,2020-11-10 04:04:00,0 days 01:09:00
AD4545,-I,2020-11-11 21:30:00,2020-11-11 22:05:00,2020-11-11 23:26:00,2020-11-12 07:10:00,0 days 00:27:00
AD4169,-M,2020-11-11 21:30:00,2020-11-11 23:53:00,2020-11-12 01:27:00,2020-11-12 07:10:00,0 days 00:54:00
AD4940,-I,2020-11-13 08:15:00,2020-11-13 10:25:00,2020-11-13 12:44:00,2020-11-13 18:11:00,0 days 00:56:00
AD4572,-M,2020-11-13 08:15:00,2020-11-13 13:40:00,2020-11-13 15:24:00,2020-11-13 18:11:00,0 days 01:08:00
AD4569,-I,2020-11-15 13:10:00,2020-11-15 14:13:00,2020-11-15 16:34:00,2020-11-16 00:06:00,0 days 01:19:00
AD4472,-M,2020-11-15 13:10:00,2020-11-15 17:53:00,2020-11-15 19:37:00,2020-11-16 00:06:00,0 days 01:16:00
AD4036,-I,2020-11-16 18:35:00,2020-11-16 19:24:00,2020-11-16 20:37:00,2020-11-17 01:16:00,0 days 00:58:00
AD4201,-I,2020-11-18 16:35:00,2020-11-18 17:35:00,2020-11-18 20:51:00,2020-11-19 01:12:00,0 days 01:00:00
AD4605,-I,2020-11-20 04:30:00,2020-11-20 05:31:00,2020-11-20 05:58:00,2020-11-20 12:35:00,0 days 01:41:00
AD4605,-M,2020-11-20 04:30:00,2020-11-20 07:39:00,2020-11-20 10:03:00,2020-11-20 12:35:00,0 days 00:42:00
AD4106,-I,2020-12-19 20:45:00,2020-12-19 22:00:00,2020-12-20 01:16:00,2020-12-20 04:59:00,0 days 01:05:00
AD4444,-M,2020-12-19 20:45:00,2020-12-20 02:21:00,2020-12-20 02:42:00,2020-12-20 04:59:00,0 days 00:27:00
AD4445,-I,2020-12-21 04:09:00,2020-12-21 04:49:00,2020-12-21 06:11:00,2020-12-21 09:23:00,0 days 00:49:00
AD4100,-I,2020-12-22 09:06:00,2020-12-22 09:46:00,2020-12-22 11:40:00,2020-12-22 20:11:00,0 days 00:59:00
AD4218,-M,2020-12-22 09:06:00,2020-12-22 12:39:00,2020-12-22 13:42:00,2020-12-22 20:11:00,0 days 01:25:00
AD4463,-M,2020-12-22 09:06:00,2020-12-22 15:07:00,2020-12-22 16:09:00,2020-12-22 20:11:00,0 days 01:44:00
AD4348,-I,2020-12-23 14:30:00,2020-12-23 15:49:00,2020-12-23 16:08:00,2020-12-23 23:50:00,0 days 04:43:00
AD4026,-I,2020-12-28 04:50:00,2020-12-28 05:43:00,2020-12-28 07:14:00,2020-12-28 11:04:00,0 days 00:54:00
AD9066,-I,2021-01-08 01:20:00,2021-01-08 02:00:00,2021-01-08 03:42:00,2021-01-08 06:38:00,0 days 00:45:00
AD4623,-I,2021-01-09 05:20:00,2021-01-09 05:59:00,2021-01-09 06:56:00,2021-01-09 12:40:00,0 days 02:42:00
AD4522,-M,2021-01-14 03:16:00,2021-01-14 06:24:00,2021-01-14 07:27:00,2021-01-14 11:06:00,0 days 01:04:00
AD4854,-I,2021-01-15 11:10:00,2021-01-15 11:58:00,2021-01-15 14:14:00,2021-01-15 20:45:00,0 days 01:08:00
AD4855,-M,2021-01-15 11:10:00,2021-01-15 15:22:00,2021-01-15 17:17:00,2021-01-15 20:45:00,0 days 00:45:00
AD4458,-I,2021-01-16 09:40:00,2021-01-16 10:32:00,2021-01-16 13:11:00,2021-01-16 21:10:00,0 days 01:01:00
AD4014,-M,2021-01-16 09:40:00,2021-01-16 14:12:00,2021-01-16 16:03:00,2021-01-16 21:10:00,0 days 01:18:00
AD4340,-I,2021-01-31 22:55:00,2021-01-31 23:55:00,2021-02-01 00:48:00,2021-02-01 05:25:00,0 days 01:06:00
AD4995,-I,2021-02-08 22:55:00,2021-02-08 23:59:00,2021-02-09 00:27:00,2021-02-09 05:22:00,0 days 01:59:00
AD4628,-I,2021-02-13 12:40:00,2021-02-13 13:45:00,2021-02-13 16:49:00,2021-02-13 21:31:00,0 days 01:05:00
AD4569,-I,2021-02-18 13:35:00,2021-02-18 14:06:00,2021-02-18 16:21:00,2021-02-19 00:55:00,0 days 02:18:00
AD4914,-M,2021-02-18 13:35:00,2021-02-18 18:39:00,2021-02-18 21:11:00,2021-02-19 00:55:00,0 days 01:06:00
AD4914,-I,2021-02-19 18:00:00,2021-02-19 18:45:00,2021-02-19 21:13:00,2021-02-20 01:00:00,0 days 00:59:00
AD4438,-I,2021-03-02 12:30:00,2021-03-02 13:29:00,2021-03-02 14:23:00,2021-03-02 21:25:00,0 days 01:03:00
AD4439,-M,2021-03-02 12:30:00,2021-03-02 15:26:00,2021-03-02 16:14:00,2021-03-02 21:25:00,0 days 01:11:00
AD4620,-I,2021-03-03 17:00:00,2021-03-03 17:40:00,2021-03-03 20:54:00,2021-03-03 23:50:00,0 days 01:06:00
AD4564,-I,2021-03-05 11:45:00,2021-03-05 12:40:00,2021-03-05 14:06:00,2021-03-05 21:15:00,0 days 00:58:00
AD4565,-M,2021-03-05 11:45:00,2021-03-05 15:04:00,2021-03-05 16:20:00,2021-03-05 21:15:00,0 days 01:17:00
AD4028,-M,2021-03-10 06:30:00,2021-03-10 08:31:00,2021-03-10 09:43:00,2021-03-10 12:18:00,0 days 00:54:00
AD4064,-M,2021-03-24 08:10:00,2021-03-24 08:56:00,2021-03-24 09:55:00,2021-03-24 12:21:00,0 days 00:57:00
AD4153,-I,2021-03-26 02:00:00,2021-03-26 02:51:00,2021-03-26 06:03:00,2021-03-26 10:33:00,0 days 02:20:00
AD4574,-I,2021-03-27 04:45:00,2021-03-27 05:17:00,2021-03-27 07:26:00,2021-03-27 11:55:00,0 days 01:25:00
AD4338,-I,2021-04-13 13:00:00,2021-04-13 13:55:00,2021-04-13 14:59:00,2021-04-13 21:01:00,0 days 02:20:00
AD4528,-I,2021-04-14 23:15:00,2021-04-14 23:54:00,2021-04-15 01:00:00,2021-04-15 05:36:00,0 days 00:59:00
AD4232,-I,2021-04-16 04:20:00,2021-04-16 04:58:00,2021-04-16 07:46:00,2021-04-16 12:51:00,0 days 01:20:00
AD4769,-I,2021-04-17 08:25:00,2021-04-17 09:07:00,2021-04-17 10:17:00,2021-04-17 15:29:00,0 days 01:42:00
AD4422,-M,2021-04-17 08:25:00,2021-04-17 11:59:00,2021-04-17 12:57:00,2021-04-17 15:29:00,0 days 01:00:00
AD4337,-I,2021-04-18 10:30:00,2021-04-18 11:20:00,2021-04-18 11:32:00,2021-04-18 21:35:00,0 days 01:05:00
AD4337,-M,2021-04-18 10:30:00,2021-04-18 12:37:00,2021-04-18 15:31:00,2021-04-18 21:35:00,0 days 02:21:00
AD4943,-M,2021-04-18 10:30:00,2021-04-18 17:52:00,2021-04-18 19:25:00,2021-04-18 21:35:00,0 days 00:35:00
AD4145,-I,2021-04-23 12:15:00,2021-04-23 13:08:00,2021-04-23 16:19:00,2021-04-23 21:20:00,0 days 01:17:00
AD4995,-I,2021-04-25 22:55:00,2021-04-25 23:54:00,2021-04-26 00:35:00,2021-04-26 05:29:00,0 days 02:02:00
AD4628,-I,2021-04-29 12:40:00,2021-04-29 13:27:00,2021-04-29 16:24:00,2021-04-29 22:24:00,0 days 01:00:00
AD4108,-M,2021-04-29 12:40:00,2021-04-29 17:24:00,2021-04-29 20:06:00,2021-04-29 22:24:00,0 days 00:50:00
AD4075,-I,2021-04-30 14:15:00,2021-04-30 14:51:00,2021-04-30 15:46:00,2021-04-30 22:52:00,0 days 02:41:00
AD4577,-M,2021-04-30 14:15:00,2021-04-30 18:27:00,2021-04-30 18:44:00,2021-04-30 22:52:00,0 days 00:25:00
